index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35212342.99482858;32.93947644955637;497249.999986536;335959.6878269202;1111510.399969904;806375.5406052356;0.7254772790493634;6.230459568174773;39.169936017731146;34.699175360045174;335959.6878269202;63.147893577541254;73.86911137777632;119.08824108979371;0.019617445497638573;0.027790648346030476;0.027790648346030476;0.013895324173015238
19;CID94;-6.073448;36.618249;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID19', 'PIPEID37'];149.38039699456206;CCS_CALCINED_CLAY_CEMENT;20;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;56961256.45404048;32.94650265986566;804167.9999999999;543353.5558308268;1797568.8192000003;1304095.3358571935;0.7254772790493635;6.896190319618971;39.84269297948463;34.70104093616583;543353.5558308268;64.23248010852582;74.54373391565046;120.17583521318983;0.05134338197098633;0.07273525060313818;0.0449446022571077;0.05026294947458433
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID24', 'PIPEID37'];160.4286217050738;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;50156624.34408651;32.67478301302821;715274.99988372;482286.2728709782;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.541699265431796;40.216482278460006;34.6288948343075;482286.2728709783;64.83508530199451;74.84537711276751;120.66212991893852;0.07956232279838152;0.1126872167963628;0.03995196619322462;0.09271123369975048
16;CID91;-4.329333;36.714681;LINESTRING (-4.329332984777801 36.71468101680755, -6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID16', 'PIPEID19', 'PIPEID37'];307.0931757694009;CCS_CALCINED_CLAY_CEMENT;17;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;34180266.50457066;32.14557145702878;497249.999986536;330533.3039026028;1111510.399969904;806375.5406052356;0.7254772790493634;9.228899411142443;41.37447086817122;34.13871809632185;330533.3039026028;66.70193900821425;75.51318896449308;121.73874418053695;0.0991797682960201;0.1403458524689872;0.0276586356726244;0.126516534632675
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID30', 'PIPEID34'];118.674447313385;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1500000.0000672003;52288846.07274177;3576118.533923346;42091566.75518614;33.914103262693565;573750.000025704;394100.2503997693;1282512.000057457;930433.3161498411;0.7254772790493635;6.6872959814488455;40.601399244142414;35.27693043807069;394100.2503997693;65.45562998642033;75.8783296822131;122.32740654580026;0.12181528233338389;0.1725690087319825;0.032223156262995295;0.15645743060048484
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1369999.9999655997;47757146.076432124;3266188.2607549843;39354334.72408134;34.57885053061701;524024.9999868418;357362.9532797322;1171360.9599705876;849795.7620241123;0.7254772790493634;6.57447763132454;41.15332816194155;35.02388339772381;357362.9532797322;66.34542333578324;76.17721155966535;122.80924958432519;0.14248905181939753;0.2019366781514917;0.02936766941950919;0.1872528434417371
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID33', 'PIPEID36'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35457584.203889705;33.12812353345465;497249.999986536;341446.94943034486;1111510.399969904;806375.5406052356;0.7254772790493634;7.786898022965834;40.915021556420484;35.26592029856818;341446.94943034486;65.9612368475169;76.18094185498867;122.81526338766618;0.1621064973170361;0.22986082019867743;0.02792414204718574;0.21589874917508456
29;CID104;-8.100041;37.135933;;[];;CCS_CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;38033280.49499357;35.10942837281896;497249.999986536;346540.38884600287;1111510.399969904;806375.5406052356;0.7254772790493634;5.374544778964523;40.48397315178349;35.79198980593341;346540.38884600287;65.26632126811784;76.2759629577169;122.96845185547441;0.1817239428146747;0.2579088750694803;0.028048054870802863;0.24388484763407886
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;35754690.097707085;33.35666652870498;497249.999986536;338586.14952302957;1111510.399969904;806375.5406052356;0.7254772790493634;8.288131970865217;41.64479849957019;34.970446165061205;338586.14952302957;67.13774825975153;76.6152446646314;123.5154255628439;0.20134138831231327;0.28576341978460995;0.02785454471512966;0.2718361474270451
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID28', 'PIPEID36'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;1179999.9999384;41133892.23990006;2813213.246413474;32395404.4646042;33.30679135904866;451349.99997643795;310729.6008452919;1008909.4399473317;731940.8753002074;0.7254772790493635;8.0403853018888;41.347176660937464;35.35704464084904;310729.6008452919;66.65793659542244;76.7042213017865;123.658869432944;0.21914799268664548;0.311129431286433;0.02536601150182305;0.2984464255355215
