Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;21.51261306622687
EMITTED_CO2;2;1;1;LL;13.73497603387734
EMITTED_CO2;3;1;1;LL;29.496870912966276
EMITTED_CO2;4;1;1;LL;17.458312912731458
EMITTED_CO2;5;1;1;LL;39.77348858431873
EMITTED_CO2;6;1;1;LL;23.99483765212962
EMITTED_CO2;7;1;1;LL;26.859326676788967
EMITTED_CO2;8;1;1;LL;63.44237442750593
EMITTED_CO2;9;1;1;LL;81.9870684940877
EMITTED_CO2;10;1;1;LL;74.66679451773696
EMITTED_CO2;11;1;1;LL;102.60096
EMITTED_CO2;12;1;1;LL;15.489081406871552
EMITTED_CO2;13;1;1;LL;19.62238564987682
EMITTED_CO2;14;1;1;LL;26.05755785178745
EMITTED_CO2;15;1;1;LL;17.917020028268205
EMITTED_CO2;16;1;1;LL;18.103772536000747
EMITTED_CO2;17;1;1;LL;18.887822635894764
EMITTED_CO2;18;1;1;LL;29.52956577062957
EMITTED_CO2;19;1;1;LL;67.83453880989633
EMITTED_CO2;20;1;1;LL;30.268840267224405
EMITTED_CO2;21;1;1;LL;21.51261306622687
EMITTED_CO2;22;1;1;LL;112.73221920502084
EMITTED_CO2;23;1;1;LL;42.945607303984005
EMITTED_CO2;24;1;1;LL;16.217200619780087
EMITTED_CO2;25;1;1;LL;21.51261306622687
EMITTED_CO2;26;1;1;LL;18.769248232442976
EMITTED_CO2;27;1;1;LL;16.051718979560214
EMITTED_CO2;28;1;1;LL;63.44237442750593
EMITTED_CO2;29;1;1;LL;19.526833398084516
EMITTED_CO2;30;1;1;LL;21.51261306622687
EMITTED_CO2;31;1;1;LL;20.890157969679045
EMITTED_CO2;32;1;1;LL;10.259861615353037
EMITTED_CO2;33;1;1;LL;33.09632778304426
EMITTED_CO2;34;1;1;LL;18.265006914645085
