process_tech;grid;Major Time;Scenario;number
LARGE_CO2_COMPRESSOR;35;1;LL;1.0
LARGE_CO2_COMPRESSOR;36;1;LL;1.0
LARGE_CO2_COMPRESSOR;38;1;LL;1.0
XL_CO2_COMPRESSOR;39;1;LL;1.0
CCS_CEMENT;1;1;LL;1.0
CCS_CEMENT;2;1;LL;1.0
CCS_CEMENT;4;1;LL;1.0
CCS_CEMENT;6;1;LL;1.0
CCS_CEMENT;12;1;LL;1.0
CCS_CEMENT;21;1;LL;1.0
CCS_CEMENT;24;1;LL;1.0
CCS_CEMENT;25;1;LL;1.0
CCS_CEMENT;27;1;LL;1.0
CCS_CEMENT;29;1;LL;1.0
CCS_CEMENT;30;1;LL;1.0
CCS_CEMENT;32;1;LL;1.0
CCS_CEMENT;33;1;LL;1.0
CCS_MINERAL_CEMENT;3;1;LL;1.0
CCS_MINERAL_CEMENT;7;1;LL;1.0
CCS_MINERAL_CEMENT;13;1;LL;1.0
CCS_MINERAL_CEMENT;14;1;LL;1.0
CCS_MINERAL_CEMENT;15;1;LL;1.0
CCS_MINERAL_CEMENT;16;1;LL;1.0
CCS_MINERAL_CEMENT;17;1;LL;1.0
CCS_MINERAL_CEMENT;18;1;LL;1.0
CCS_MINERAL_CEMENT;20;1;LL;1.0
CCS_MINERAL_CEMENT;26;1;LL;1.0
CCS_MINERAL_CEMENT;31;1;LL;1.0
CCS_MINERAL_CEMENT;34;1;LL;1.0
NO_ACTION;5;1;LL;1.0
NO_ACTION;8;1;LL;1.0
NO_ACTION;9;1;LL;1.0
NO_ACTION;10;1;LL;1.0
NO_ACTION;11;1;LL;1.0
NO_ACTION;19;1;LL;1.0
NO_ACTION;22;1;LL;1.0
NO_ACTION;23;1;LL;1.0
NO_ACTION;28;1;LL;1.0
