index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_MINERAL_CEMENT;26;1;LL;1.0;1369999.9999655997;82013303.8776328;4910483.835212619;38437928.73702356;37.59845283566198;733634.9999815787;328837.22903240117;1171360.9599705876;848946.0251627071;0.7247518520542325;7.835757597841259;45.43421043350324;32.22817771333494;328837.22903240117;73.32017165685743;77.66238814683817;125.32890031271987;0.02065309714945758;0.02865302533837038;0.02865302533837038;0.01432651266918519
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.127339717498904 41.1266330058039);['PIPEID30', 'PIPEID34'];135.4996708333845;CCS_MINERAL_CEMENT;31;1;LL;1.0;1500000.0000672003;89795588.19346678;5376442.155718151;42406139.82441877;37.81233042683858;803250.0000359857;365995.5676287772;1282512.000057457;929502.94732342;0.7247518520542325;7.637521654171051;45.44985208100963;32.761207755604445;365995.5676287772;73.34541361152598;78.21105983661408;126.21432788136893;0.04326597724168543;0.0601698189780576;0.03151679363968722;0.04441142215821399
0;CID75;-6.483272;38.3792;;[];;CCS_CEMENT;1;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;8.840930848657843;39.32960583949179;38.92774551291989;376900.98092029494;69.59955353703702;78.25735135241169;138.4879557996932;0.06113750175424834;0.08721056313939714;0.027040744161339537;0.07369019105872737
21;CID96;2.183652;41.474698;;[];;CCS_CEMENT;22;1;LL;1.0;2310000.000552;84733391.0734334;4338295.472686756;57658389.34077807;30.488674990833953;1767150.00042228;669724.0508903883;1975068.4804719647;1305344.4295815765;0.6609109721955817;8.840930848657843;39.3296058394918;38.92774551291989;669724.0508903883;69.59955353703702;78.25735135241169;138.48795579969317;0.0928938260888662;0.13525988546963727;0.04804932233024013;0.11123522430451721
20;CID95;-3.901136;40.009935;;[];;CCS_CEMENT;21;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;8.840930848657843;39.32960583949179;38.92774551291989;376900.98092029494;69.59955353703702;78.25735135241169;138.4879557996932;0.11076535060142911;0.1623006296309768;0.02704074416133953;0.14878025755030705
27;CID102;2.054826;41.402821;;[];;CCS_CEMENT;28;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;8.840930848657843;39.32960583949179;38.92774551291989;376900.98092029494;69.59955353703702;78.25735135241169;138.4879557996932;0.12863687511399202;0.18934137379231633;0.02704074416133953;0.17582100171164655
22;CID97;-0.246962;39.663613;;[];;CCS_CEMENT;23;1;LL;1.0;879999.9999599999;32279387.06641291;1652683.9891249056;21965100.69500157;30.488674990833953;673199.9999694;255132.97169520313;752407.0399657997;497274.06827059656;0.6609109721955817;8.840930848657843;39.3296058394918;38.927745512919884;255132.97169520313;69.59955353703704;78.25735135241169;138.4879557996932;0.14073452247611998;0.20764587753196362;0.018304503739647288;0.19849362566213996
10;CID85;0.54329;40.576824;;[];;CCS_CEMENT;11;1;LL;1.0;2102400.0;77118390.19489916;3948412.294197885;52476622.39007996;30.488674990833953;1608336.0;609535.8633140642;1797568.8192000003;1188032.955885936;0.6609109721955817;8.840930848657843;39.3296058394918;38.927745512919884;609535.8633140642;69.59955353703702;78.25735135241169;138.48795579969317;0.16963690181168123;0.2513770010137633;0.043731123481799694;0.22951143927286347
9;CID84;-0.542867;38.378014;;[];;CCS_CEMENT;10;1;LL;1.0;1529999.9999423998;56122116.14999698;2873416.4811145994;38189322.79956225;30.488674990833953;1170449.9999559359;443583.46215535054;1308162.2399507514;864578.7777954009;0.6609109721955817;8.840930848657843;39.3296058394918;38.92774551291989;443583.46215535054;69.59955353703704;78.25735135241169;138.4879557996932;0.19067031143009064;0.2832018768340804;0.03182487582031707;0.2672894389239219
11;CID86;-3.74396;39.934332;;[];;CCS_CEMENT;12;1;LL;1.0;935999.9999256001;34333529.878561646;1757854.78837303;23362879.82934294;30.488674990833957;716039.9999430841;271368.7062483898;800287.4879363877;528918.7816879979;0.6609109721955817;8.840930848657843;39.3296058394918;38.927745512919884;271368.7062483898;69.59955353703702;78.25735135241169;138.48795579969317;0.20353780907846156;0.3026712126292245;0.019469335795144094;0.2929365447316524
