Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;16.400180709816976
EMITTED_CO2;2;1;1;LL;11.45758995834008
EMITTED_CO2;3;1;1;LL;10.924726256799987
EMITTED_CO2;4;1;1;LL;10.628036539121233
EMITTED_CO2;5;1;1;LL;7.2640665832122915
EMITTED_CO2;6;1;1;LL;19.027186449546484
EMITTED_CO2;7;1;1;LL;14.184533745702728
EMITTED_CO2;8;1;1;LL;9.869500931623575
EMITTED_CO2;9;1;1;LL;22.68163095036268
EMITTED_CO2;10;1;1;LL;5.854078459839737
EMITTED_CO2;11;1;1;LL;10.509305684219337
EMITTED_CO2;12;1;1;LL;12.936941225489294
EMITTED_CO2;13;1;1;LL;7.57545672223793
EMITTED_CO2;14;1;1;LL;8.677521975820769
EMITTED_CO2;15;1;1;LL;30.22669959728916
EMITTED_CO2;16;1;1;LL;35.453395059196865
