From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
2;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.81395547795
3;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;187.75248287535
5;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;17.7932363013
6;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.656678083099997
7;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;62.22174656895
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.220034248024994
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;288.180565061175
15;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.60188356232499
16;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.19580479225
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;58.72859588834999
18;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.900000000000006
19;17;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.346746574049995
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;104.62859588835
24;7;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.39554794545
25;38;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;118.98544519755
26;36;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;339.26789382615
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;309.357791087175
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.761986300025
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
31;35;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;89.948630121075
32;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.200342448375
33;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.66438354575
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493143
35;48;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;89.948630121075
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;339.26789382615004
37;63;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;54.143835614325
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;223.6140410859
39;68;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;28.3818493143
