index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_CALCINED_CLAY_CEMENT;26;1;LL;1.0;1369999.9999655997;47757146.076432124;3266188.2607549843;32518152.070087582;29.58893618451087;524024.9999868418;326611.7375419013;1171360.9599705876;849795.7620241123;0.7254772790493634;6.632157609629498;36.22109379414037;32.01006513688977;307015.0332893872;58.39391147177584;68.23115893103014;109.99900436137005;0.020673769486013627;0.028207578779363876;0.028207578779363876;0.014103789389681938
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID30', 'PIPEID34'];118.674447313385;CCS_CALCINED_CLAY_CEMENT;31;1;LL;1.0;1500000.0000672003;52288846.07274177;3576118.533923346;35235389.041517876;29.343318120452825;573750.000025704;361674.2780886103;1282512.000057457;930433.3161498411;0.7254772790493635;6.91016951769123;36.25348763814405;32.37439797723816;339973.82140329364;58.44613527456135;68.62788561538221;110.63858810823893;0.043309283523377415;0.059185081374924266;0.03097750259556039;0.043696330077144074
26;CID101;-6.768733;42.553519;LINESTRING (-6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID26', 'PIPEID25', 'PIPEID35'];261.97938835422946;CCS_CALCINED_CLAY_CEMENT;27;1;LL;1.0;969999.9999360001;33813453.78996051;2312556.6516809133;23442350.383802757;30.020430291781388;371024.99997552;232078.3274884995;829357.7599452797;601680.2110435767;0.7254772790493635;6.934579110088586;36.95500940186997;32.12463402499468;218153.6278391895;59.57709504069526;69.07964342686465;111.36689040082891;0.05794691593258445;0.0791758419123956;0.019990760537471335;0.06918046164365993
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;29812667.59759492;28.785879990033393;497249.999986536;310483.6366012755;1111510.399969904;806375.5406052356;0.7254772790493634;8.345811949170237;37.131691939203634;32.067913333704816;291854.6184051989;59.86193415964368;69.19960527290846;111.5602871396929;0.07756436143022302;0.10595499530002016;0.026779153387624557;0.09256541860620787
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];447.5330054841884;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;1430000.0000664;49848699.92276191;3409233.0023458255;32104020.644358456;28.303422846414787;546975.000025398;340167.69591429265;1222661.4400567727;887013.0947309638;0.7254772790493634;9.072849768086083;37.37627261450087;31.939812908759766;319757.634159435;60.25623540251019;69.31608552326064;111.74807101684287;0.09914355147921175;0.13538079296867114;0.029425797668650985;0.12066789413434564
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CALCINED_CLAY_CEMENT;25;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30999431.63594457;29.698775404173226;497249.999986536;323098.5719932709;1111510.399969904;806375.5406052356;0.7254772790493634;6.298379075618238;35.99715447979146;33.37083112766347;303712.6576736746;58.03288724176608;69.36798560745493;111.8317418452017;0.11876099697685033;0.16244909180530898;0.027068298836637833;0.14891494238699005
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID33', 'PIPEID36'];73.45401733259877;CCS_CALCINED_CLAY_CEMENT;34;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;30026773.968849115;28.95057719869493;497249.999986536;315990.9808288318;1111510.399969904;806375.5406052356;0.7254772790493634;7.850894044889976;36.801471243584906;32.636732480895354;297031.5219791018;59.32956818042448;69.43820372448026;111.94494412817515;0.1383784424744889;0.18935447838161537;0.026905386576306395;0.17590178509346216
29;CID104;-8.100041;37.135933;;[];;CCS_CALCINED_CLAY_CEMENT;30;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;32598240.447875507;30.928628336461095;497249.999986536;321076.0557911064;1111510.399969904;806375.5406052356;0.7254772790493634;5.438540800888662;36.367169137349755;33.16193807617453;301811.49244364;58.62940713924676;69.52910721352428;112.09149437654371;0.1579958879721275;0.21637641936248625;0.02702194098087088;0.20286544887205082
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.951758439954242 38.34034366764466);['PIPEID28', 'PIPEID36'];78.11753421090471;CCS_CALCINED_CLAY_CEMENT;29;1;LL;1.0;1179999.9999384;41133892.23990006;2813213.246413474;27373218.1397511;29.050701253018765;451349.99997643795;286672.2981310055;1008909.4399473317;731940.8753002074;0.7254772790493635;8.104381323814296;37.15508257683306;32.61963203614859;269471.9602431451;59.899643424603035;69.77471461298165;112.48745085489406;0.1758024923464597;0.2407947871402525;0.024418367777766237;0.22858560325136937
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];360.61696418781503;CCS_CALCINED_CLAY_CEMENT;14;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;45158728.980049625;30.002111694926935;715274.99988372;451116.30313867907;1598864.9597400778;1159940.2005596017;0.7254772790493634;7.459833564295558;37.461945259222496;32.3908431530458;424049.32495035825;60.39435273435722;69.8527884122683;112.6133176923154;0.20402143317385488;0.2794186567544713;0.03862386961421882;0.2601067219473619
