Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;18.66272903803489
EMITTED_CO2;2;1;1;LL;11.431746173741162
EMITTED_CO2;3;1;1;LL;29.133364230103695
EMITTED_CO2;4;1;1;LL;15.199294161728703
EMITTED_CO2;5;1;1;LL;11.378357303474584
EMITTED_CO2;6;1;1;LL;20.363418448708774
EMITTED_CO2;7;1;1;LL;26.47180870468449
EMITTED_CO2;8;1;1;LL;19.24662366795472
EMITTED_CO2;9;1;1;LL;23.91938602730905
EMITTED_CO2;10;1;1;LL;22.3613409439737
EMITTED_CO2;11;1;1;LL;31.31592188456769
EMITTED_CO2;12;1;1;LL;14.040040529561036
EMITTED_CO2;13;1;1;LL;19.41596437866967
EMITTED_CO2;14;1;1;LL;25.74864743942232
EMITTED_CO2;15;1;1;LL;17.721668755780563
EMITTED_CO2;16;1;1;LL;17.89011120448506
EMITTED_CO2;17;1;1;LL;18.5972886328843
EMITTED_CO2;18;1;1;LL;29.15935901265954
EMITTED_CO2;19;1;1;LL;20.05438071842127
EMITTED_CO2;20;1;1;LL;29.826150889123586
EMITTED_CO2;21;1;1;LL;19.52094381017912
EMITTED_CO2;22;1;1;LL;32.2660544527855
EMITTED_CO2;23;1;1;LL;12.969939185191608
EMITTED_CO2;24;1;1;LL;14.263421215024676
EMITTED_CO2;25;1;1;LL;18.44169931468441
EMITTED_CO2;26;1;1;LL;18.64222246243729
EMITTED_CO2;27;1;1;LL;13.246479879480564
EMITTED_CO2;28;1;1;LL;18.14756982492306
EMITTED_CO2;29;1;1;LL;16.362574094235473
EMITTED_CO2;30;1;1;LL;18.32625889218644
EMITTED_CO2;31;1;1;LL;20.64350902332251
EMITTED_CO2;32;1;1;LL;8.611833291604626
EMITTED_CO2;33;1;1;LL;28.043085414925205
EMITTED_CO2;34;1;1;LL;18.0360148874904
