From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;100.23159246369426
2;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;81.81395547794997
3;14;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;430.14220891155
4;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;23.032962329831296
5;2;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;17.793236301299995
6;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.656678083100008
7;25;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;62.221746568930726
8;23;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;61.7851027377
9;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;242.3897260362
10;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;33.4032534234
11;9;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.711643844
12;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.4678938350563
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;31.22003424702499
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;530.570291097375
15;14;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;59.60188356232503
16;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.19580479224996
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;58.72859588835014
18;2;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.90000000004928
19;17;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;30.346746574050144
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;104.62859588935012
21;1;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;71.84974314939426
22;28;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;50.43236302575
23;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.99743150395
24;7;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;21.39554794543073
25;38;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;190.8351883491548
26;36;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;581.65761986235
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;551.747517123375
28;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;78.81421234005
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.76198629999569
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.3818493133
31;35;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;89.94863012110429
32;31;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.2003424484043
33;32;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.66438354578498
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;28.381849314299995
35;48;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;228.4000000000113
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;635.4000000000002
37;63;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;55.175038051750406
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;395.5555068048986
39;68;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000000002
