From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
2;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.24143835330001
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;204.49602739332008
4;35;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;217.05565068315008
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.31335616620001
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.156678072900014
9;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;73.35616438440002
12;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;97.63356163905004
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.708047947235
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;408.4086986196751
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725501
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;140.23602739332006
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
18;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.26000000000002
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002005
21;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
25;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.52739725720004
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;492.6372945062401
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;450.7631506716751
29;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;91.25856164007004
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
31;35;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;224.43493147335005
32;31;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;178.58732873157004
33;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.32876709150003
34;29;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
35;49;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;441.8642146440897
36;43;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;492.6372945062401
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;274.6786643701201
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;56.76369862860002
