index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_MINERAL_CEMENT;26;1;LL;1.0;1369999.9999655997;82013303.8776328;4910483.835212619;38437928.73702356;37.59845283566198;733634.9999815787;328837.22903240117;1171360.9599705876;848946.0251627071;0.7247518520542325;7.835391155383914;45.4338439910459;32.22817771333494;309106.9952904571;73.31958030457864;77.66202170438083;125.32830896044108;0.02065309714945758;0.028548275539080084;0.028548275539080084;0.014274137769540042
29;CID104;-8.100041;37.135933;;[];;CCS_CEMENT;30;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;8.840930848657845;39.32960583949179;38.92774551291989;354286.92206507723;69.59955353703702;78.25735135241169;138.4879557996932;0.03852462166202049;0.05539170345697776;0.026843427917897678;0.04196998949802892
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.223876430341862 40.62447076618752);['PIPEID30', 'PIPEID34'];170.3665742154442;CCS_MINERAL_CEMENT;31;1;LL;1.0;1500000.0000672003;89795588.19346678;5376442.155718151;42406139.82441877;37.81233042683858;803250.0000359857;365995.5676287771;1282512.000057457;929502.94732342;0.7247518520542325;7.6934526722328;45.50578309907138;32.76120775560444;344035.8335710505;73.43567317158222;78.26699085467581;126.30458744142513;0.06113750175424834;0.08678692922345631;0.031395225766478546;0.07108931634021703
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID36'];88.41581921011414;CCS_CEMENT;25;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;10.51167758982356;41.000352580657506;38.92774551291989;354286.92206507723;72.55618696309162;79.9280980935774;141.44458922574776;0.07900902626681125;0.11363035714135399;0.026843427917897678;0.10020864318240515
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_MINERAL_CEMENT;15;1;LL;1.0;1299999.9999648002;77822843.09541087;4659583.20128748;35948546.15705779;37.19429835902938;696149.9999811505;313906.19089525926;1111510.399969904;805569.2209557287;0.7247518520542325;10.350046986537194;47.544345345566576;32.42140756509427;295071.8194415437;76.72543505849727;79.96575291066085;129.04599142667266;0.09860685567866675;0.14076331490401794;0.02713295776266396;0.12719683602268597
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];447.5330054841884;CCS_MINERAL_CEMENT;13;1;LL;1.0;1430000.0000664;85605127.41124482;5125541.521793009;38778488.8038241;36.659394882238615;765765.0000355572;343784.1965858419;1222661.4400567727;886126.143116441;0.7247518520542325;11.07708480542975;47.736479687668364;32.27938176324262;323157.1447906914;77.03549487487062;80.01586145091099;129.12685487158697;0.12016446803329252;0.1705745168941204;0.029811201990102454;0.15566891589906917
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID36'];149.85615465615166;CCS_MINERAL_CEMENT;7;1;LL;1.0;1869999.999696;111945166.59130819;6702631.219405388;53054499.43761036;37.912960623359936;1001384.999837208;470575.4033773431;1598864.9597400778;1158780.3407562373;0.7247518520542325;8.387901485400787;46.300862108760725;33.78803642525658;442340.8791747025;74.71874442813035;80.0888985340173;129.24471961314572;0.1483551918757574;0.2100452915052602;0.03947077461113979;0.1903099041996903
19;CID94;-6.073448;36.618249;LINESTRING (-6.073447983937021 36.61824901758658, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID19', 'PIPEID36'];149.38039699456206;CCS_MINERAL_CEMENT;20;1;LL;1.0;2102400.0;125857496.4063246;7535621.325116961;60281372.22341697;38.21421715066581;1125835.2;530310.081481772;1797568.8192000003;1302791.3309101402;0.7247518520542326;8.325008981006748;46.53922613167256;33.868025061917464;498491.47659286566;75.10340811899151;80.40725119359001;129.75846622444536;0.18004940461160407;0.2544504413595223;0.04440514985426208;0.23224786643239123
13;CID88;-5.619632;42.798654;LINESTRING (-5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];360.61696418781503;CCS_MINERAL_CEMENT;14;1;LL;1.0;1869999.999696;111945166.59130819;6702631.219405388;54232184.486059114;38.54273872423706;1001384.999837208;456528.4135633165;1598864.9597400778;1158780.3407562373;0.7247518520542325;9.194457361045671;47.73719608528273;32.77944099061388;429136.7087495175;77.036650972788;80.51663707589661;129.93498941239193;0.20824012845406897;0.29359570730317835;0.03914526594365608;0.2740230743313503
26;CID101;-6.768733;42.553519;LINESTRING (-6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID26', 'PIPEID25', 'PIPEID35'];261.97938835422946;CCS_CEMENT;27;1;LL;1.0;969999.9999360001;35580688.01565668;1821708.48797529;24211531.447402522;30.488674990833953;742049.9999510401;281226.116521895;829357.7599452797;548131.6434233848;0.6609109721955818;11.879590260320661;42.36826525115461;38.927745512919884;264352.5495305813;74.97691071844274;81.2960107640745;143.86531298109887;0.22157503520523178;0.3136250342872921;0.02002932698411375;0.30361037079523523
