Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;21.51261306622688
EMITTED_CO2;2;1;1;LL;13.734976033877349
EMITTED_CO2;3;1;1;LL;29.4968709129663
EMITTED_CO2;4;1;1;LL;17.45831291273147
EMITTED_CO2;5;1;1;LL;13.486753576446766
EMITTED_CO2;6;1;1;LL;23.99483765212962
EMITTED_CO2;7;1;1;LL;26.85932667678899
EMITTED_CO2;8;1;1;LL;21.51261306622688
EMITTED_CO2;9;1;1;LL;27.80091534819445
EMITTED_CO2;10;1;1;LL;25.3186907622917
EMITTED_CO2;11;1;1;LL;34.790859778200016
EMITTED_CO2;12;1;1;LL;15.489081406871565
EMITTED_CO2;13;1;1;LL;19.62238564987682
EMITTED_CO2;14;1;1;LL;26.05755785178747
EMITTED_CO2;15;1;1;LL;17.917020028268222
EMITTED_CO2;16;1;1;LL;18.103772536000758
EMITTED_CO2;17;1;1;LL;18.887822635894764
EMITTED_CO2;18;1;1;LL;29.5295657706296
EMITTED_CO2;19;1;1;LL;20.38346337010617
EMITTED_CO2;20;1;1;LL;30.268840267224427
EMITTED_CO2;21;1;1;LL;21.51261306622688
EMITTED_CO2;22;1;1;LL;38.22625861246509
EMITTED_CO2;23;1;1;LL;14.562384229178257
EMITTED_CO2;24;1;1;LL;16.217200619780094
EMITTED_CO2;25;1;1;LL;21.51261306622688
EMITTED_CO2;26;1;1;LL;18.76924823244299
EMITTED_CO2;27;1;1;LL;16.051718979560217
EMITTED_CO2;28;1;1;LL;21.51261306622688
EMITTED_CO2;29;1;1;LL;19.526833398084523
EMITTED_CO2;30;1;1;LL;21.51261306622688
EMITTED_CO2;31;1;1;LL;20.89015796967906
EMITTED_CO2;32;1;1;LL;10.25986161535304
EMITTED_CO2;33;1;1;LL;33.09632778304427
EMITTED_CO2;34;1;1;LL;18.265006914645088
