From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.7636986286
2;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.241438353300005
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;240.0824999959212
4;35;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;670.9643835747796
5;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;35.586472602600004
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.3133561662
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.9477739638
8;4;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;453.90873289166313
9;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;73.3561643844
10;8;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.29195205042969
11;8;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;249.4284246801
12;4;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;97.63356163905
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.708047947235
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;443.9951712222762
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725499
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;175.82249999592
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002
18;16;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.8464726026
19;10;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.485445203629695
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002
21;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.763698628599975
22;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;100.8647260515
23;8;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;38.4246575325
24;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.7910958909
25;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.5273972572
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;528.2237671088412
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;486.3496232742762
28;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.7636986286
29;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;91.25856164007315
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.7636986286
31;35;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;251.5068492786032
32;31;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.65924653685687
33;32;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;87.32876709153372
34;29;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002317
35;49;32INCH_CO2_OFFSHORE;MODE_1;1;1;LL;1141.779407660363
36;43;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;570.8000000000001
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;399.5433789954341
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
