From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
2;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;165.88885273821003
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;269.88344177823006
5;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;76.25984589090001
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.31335616620001
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.94777396380002
9;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.34931506908001
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.708047947235
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;473.7961130045851
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725501
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.62344177823005
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
18;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.26000000000002
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002005
24;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.7910958909
25;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.52739725720004
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;545.3183732755501
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;503.4442294409851
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.06678082003501
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.76369862860002
31;35;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.847602741780015
32;33;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;27.071917805250003
33;37;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.20205476930002
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002001
35;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;57.1
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;547.1688833820342
37;61;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;164.00342462935504
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;317.4697602610201
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;56.76369862860002
