index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
25;CID100;-7.450123;42.717483;LINESTRING (-7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID25', 'PIPEID35'];202.9174883927646;CCS_MINERAL_CEMENT;26;1;LL;1.0;1369999.9999655997;82013303.8776328;4910483.835212619;38437928.73702356;37.59845283566198;733634.9999815787;328837.22903240117;1171360.9599705876;848946.0251627071;0.7247518520542325;7.937495723931617;45.5359485595936;32.22817771333494;309106.99529045704;73.48435315792939;77.76412627292854;125.49308181379183;0.02065309714945758;0.02838704918108638;0.02838704918108638;0.01419352459054319
29;CID104;-8.100041;37.135933;;[];;CCS_CEMENT;30;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;9.00463018963984;39.49330518047379;38.92774551291989;354286.9220650772;69.88924372852158;78.42105069339368;138.7776459911777;0.03852462166202049;0.055078878866252116;0.026691829685165737;0.041732964023669245
33;CID108;-8.935936;38.501466;LINESTRING (-8.935935982999197 38.50146601752661, -9.230709259891642 38.65399113754908, -8.969029226240394 39.62591194676614);['PIPEID33', 'PIPEID36'];141.41104211114236;CCS_MINERAL_CEMENT;34;1;LL;1.0;1299999.9999648002;77822843.09541087;4659583.20128748;36181233.015702106;37.3732882502991;696149.9999811505;320002.9211445819;1111510.399969904;805569.2209557287;0.7247518520542325;8.678776131316331;46.05206438161543;33.051100708972676;300802.74587590696;74.3172431829656;79.1031650905881;127.65397676561867;0.058122451073875994;0.08219908396941311;0.027120205103160995;0.06863898141783262
26;CID101;-6.768733;42.553519;LINESTRING (-6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID26', 'PIPEID25', 'PIPEID35'];261.97938835422946;CCS_MINERAL_CEMENT;27;1;LL;1.0;969999.9999360001;58067813.69200913;3476765.92697925;28081718.77198796;38.4917960852013;519434.999965728;234539.9479199755;829357.7599452797;601078.5725358911;0.7247518520542325;8.401508266221835;46.89330435142314;32.46537525803177;220467.55104477695;75.67480741490454;79.35867960945491;128.06631733906283;0.07274544686523007;0.10233742807173178;0.02013834410231867;0.09226825602057245
28;CID103;-9.009904;38.922169;LINESTRING (-9.009903983060321 38.92216901726825, -9.230709259891642 38.65399113754908, -8.969029226240394 39.62591194676614);['PIPEID28', 'PIPEID36'];146.0745589894483;CCS_MINERAL_CEMENT;29;1;LL;1.0;1179999.9999384;70639196.03867495;4229467.828754671;32973036.555332653;37.484821864696514;631889.9999670131;290298.7957939023;1008909.4399473317;731208.9851568271;0.7247518520542325;8.932263410239289;46.4170852749358;33.032280974029526;272880.8680462681;74.90630139045354;79.44936624896533;128.21266432985337;0.0905342458693904;0.12695041861853104;0.02461299054679926;0.1146439233451314
30;CID105;-8.418212;40.289074;LINESTRING (-8.418211983652565 40.28907401608227, -8.663498236721621 41.13424080560878, -9.127339717498904 41.1266330058039);['PIPEID30', 'PIPEID34'];135.4996708333845;CCS_MINERAL_CEMENT;31;1;LL;1.0;1500000.0000672003;89795588.19346678;5376442.155718151;42406139.82441877;37.81233042683858;803250.0000359857;365995.56762877706;1282512.000057457;929502.94732342;0.7247518520542325;9.220267613526515;47.032598040365095;32.76120775560443;344035.8335710504;75.89959479618605;79.79380579596952;128.76850906602897;0.11314712596161826;0.15816833987841022;0.031217921259879183;0.14255937924847062
14;CID89;-5.775146;43.33011;LINESTRING (-5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];421.4056657298883;CCS_MINERAL_CEMENT;15;1;LL;1.0;1299999.9999648002;77822843.09541087;4659583.20128748;35948546.15705779;37.19429835902938;696149.9999811505;313906.1908952592;1111510.399969904;805569.2209557287;0.7247518520542325;10.380570607988158;47.57486896701754;32.42140756509426;295071.8194415436;76.7746930326762;79.9962765321118;129.09524940085157;0.13274495537347375;0.185148064288829;0.026979724410418765;0.1716582020836196
12;CID87;-5.722483;43.560582;LINESTRING (-5.722482985589674 43.56058201289502, -5.775145985520356 43.33011001305982, -5.61963198548489 42.79865401334181, -6.768732984909476 42.5535190139237, -7.450122984627811 42.71748301407421, -8.733260829923628 42.22657923489934, -9.314145233515781 41.61267249554911);['PIPEID12', 'PIPEID14', 'PIPEID13', 'PIPEID26', 'PIPEID25', 'PIPEID35'];447.5330054841884;CCS_MINERAL_CEMENT;13;1;LL;1.0;1430000.0000664;85605127.41124482;5125541.521793009;38778488.8038241;36.659394882238615;765765.0000355572;343784.196585842;1222661.4400567727;886126.143116441;0.7247518520542325;11.107608426880716;47.76700330911933;32.279381763242625;323157.14479069144;77.08475284904956;80.04638507236196;129.17611284576589;0.15430256772809953;0.2147909075450493;0.029642843256220297;0.19996948591693914
24;CID99;-6.672312;37.359766;LINESTRING (-6.672311983822705 37.35976601733982, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID24', 'PIPEID37'];88.41581921011414;CCS_CEMENT;25;1;LL;1.0;1299999.9999648002;47685458.167168155;2441464.983979388;32448444.209121376;30.48867499083395;994499.9999730722;376900.98092029494;1111510.399969904;734609.4190496091;0.6609109721955817;10.681473472556915;41.170148463390866;38.92774551291989;354286.9220650772;72.8566658867528;80.09789397631076;141.74506814940892;0.17217409224066244;0.24148273723021502;0.02669182968516573;0.22813682238763217
6;CID81;-5.865094;37.359736;LINESTRING (-5.865093984204829 37.35973601700449, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID6', 'PIPEID37'];149.85615465615166;CCS_MINERAL_CEMENT;7;1;LL;1.0;1869999.999696;111945166.59130819;6702631.219405388;53054499.43761036;37.912960623359936;1001384.999837208;470575.4033773431;1598864.9597400778;1158780.3407562373;0.7247518520542325;8.50675860331303;46.41971922667297;33.78803642525658;442340.87917470245;74.91055197149505;80.20775565192955;129.4365271565104;0.20036481608312734;0.28073060068060773;0.03924786345039272;0.26110666895541135
