Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;21.512613066226876
EMITTED_CO2;2;1;1;LL;11.569204079827704
EMITTED_CO2;3;1;1;LL;29.4968709129663
EMITTED_CO2;4;1;1;LL;17.45831291273147
EMITTED_CO2;5;1;1;LL;11.529985382009317
EMITTED_CO2;6;1;1;LL;23.994837652129625
EMITTED_CO2;7;1;1;LL;26.85932667678899
EMITTED_CO2;8;1;1;LL;21.51261306622688
EMITTED_CO2;9;1;1;LL;24.308283474939223
EMITTED_CO2;10;1;1;LL;25.31869076229169
EMITTED_CO2;11;1;1;LL;34.790859778200016
EMITTED_CO2;12;1;1;LL;15.489081406871565
EMITTED_CO2;13;1;1;LL;19.622385649876826
EMITTED_CO2;14;1;1;LL;26.05755785178747
EMITTED_CO2;15;1;1;LL;17.91702002826822
EMITTED_CO2;16;1;1;LL;18.10377253600076
EMITTED_CO2;17;1;1;LL;18.887822635894764
EMITTED_CO2;18;1;1;LL;29.5295657706296
EMITTED_CO2;19;1;1;LL;20.38346337010617
EMITTED_CO2;20;1;1;LL;30.26884026722443
EMITTED_CO2;21;1;1;LL;21.51261306622688
EMITTED_CO2;22;1;1;LL;35.133287271618656
EMITTED_CO2;23;1;1;LL;14.562384229178262
EMITTED_CO2;24;1;1;LL;16.217200619780094
EMITTED_CO2;25;1;1;LL;21.51261306622688
EMITTED_CO2;26;1;1;LL;18.76924823244299
EMITTED_CO2;27;1;1;LL;13.386983328765725
EMITTED_CO2;28;1;1;LL;19.75998833683277
EMITTED_CO2;29;1;1;LL;16.569565969971592
EMITTED_CO2;30;1;1;LL;21.51261306622688
EMITTED_CO2;31;1;1;LL;20.890157969679056
EMITTED_CO2;32;1;1;LL;10.25986161535304
EMITTED_CO2;33;1;1;LL;28.428298423078072
EMITTED_CO2;34;1;1;LL;18.265006914645088
