From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;25;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.7636986286
2;16;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;165.88885273821
3;14;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;269.88344177823
4;12;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;46.0659246597
5;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;76.25984589090001
6;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.3133561662
7;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;99.94777396386812
8;12;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;406.62020548764
9;5;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.349315069080006
10;8;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.29195205047
11;23;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;202.13989727607
12;21;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;493.55599315779
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;43.70804794723494
14;27;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;473.7961130045536
15;14;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.44263698725493
16;3;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;205.62344177823
17;20;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002
18;2;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.25999999999999
19;10;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.48544520367
20;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.99458904002
21;35;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;550.31969178639
22;28;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.60530823605
23;8;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;240.56455480857
24;7;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;42.79109589093133
25;38;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;113.5273972571632
26;36;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;545.3183732755186
27;26;24INCH_CO2_ONSHORE;MODE_1;1;1;LL;503.4442294409536
28;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;110.33989727607
29;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;36.066780820035
30;39;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.7636986286
31;35;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.84760274178001
32;33;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;27.07191780525
33;37;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;88.20205476929999
34;37;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;39.73458904002
35;47;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
36;43;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
37;61;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.40000000000003
38;71;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;397.3333944736541
39;68;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
