Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;15.463971581970869
EMITTED_CO2;2;1;1;LL;11.1822021309786
EMITTED_CO2;3;1;1;LL;10.300555514229089
EMITTED_CO2;4;1;1;LL;10.79931988394829
EMITTED_CO2;5;1;1;LL;7.446739438141238
EMITTED_CO2;6;1;1;LL;18.00188217526422
EMITTED_CO2;7;1;1;LL;13.37060773168141
EMITTED_CO2;8;1;1;LL;9.587083862861071
EMITTED_CO2;9;1;1;LL;23.210207817175203
EMITTED_CO2;10;1;1;LL;5.854078459839738
EMITTED_CO2;11;1;1;LL;9.909481195148452
EMITTED_CO2;12;1;1;LL;12.576516138943816
EMITTED_CO2;13;1;1;LL;7.359481733491544
EMITTED_CO2;14;1;1;LL;8.677521975799953
EMITTED_CO2;15;1;1;LL;29.36248519632429
EMITTED_CO2;16;1;1;LL;34.46444348562589
