From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;3;9INCH_CO2_ONSHORE;1;LL;1.0
3;18;9INCH_CO2_ONSHORE;1;LL;1.0
4;21;6INCH_CO2_ONSHORE;1;LL;1.0
5;1;6INCH_CO2_ONSHORE;1;LL;1.0
6;11;12INCH_CO2_ONSHORE;1;LL;1.0
7;18;6INCH_CO2_ONSHORE;1;LL;1.0
8;18;6INCH_CO2_ONSHORE;1;LL;1.0
9;6;9INCH_CO2_ONSHORE;1;LL;1.0
10;21;12INCH_CO2_ONSHORE;1;LL;1.0
11;18;12INCH_CO2_ONSHORE;1;LL;1.0
12;10;12INCH_CO2_ONSHORE;1;LL;1.0
13;15;6INCH_CO2_ONSHORE;1;LL;1.0
14;16;6INCH_CO2_ONSHORE;1;LL;1.0
15;21;9INCH_CO2_ONSHORE;1;LL;1.0
16;12;12INCH_CO2_ONSHORE;1;LL;1.0
18;39;24INCH_CO2_OFFSHORE;1;LL;1.0
21;36;16INCH_CO2_OFFSHORE;1;LL;1.0
