grid_from;grid_to;type;TM;EXSTNG_PIPES
1;3;9INCH_CO2_ONSHORE;1;1
3;18;9INCH_CO2_ONSHORE;1;1
4;7;6INCH_CO2_ONSHORE;1;1
5;1;6INCH_CO2_ONSHORE;1;1
6;11;12INCH_CO2_ONSHORE;1;1
7;18;12INCH_CO2_ONSHORE;1;1
8;18;6INCH_CO2_ONSHORE;1;1
9;6;9INCH_CO2_ONSHORE;1;1
10;21;12INCH_CO2_ONSHORE;1;1
11;18;12INCH_CO2_ONSHORE;1;1
12;10;12INCH_CO2_ONSHORE;1;1
13;15;6INCH_CO2_ONSHORE;1;1
14;16;6INCH_CO2_ONSHORE;1;1
15;21;9INCH_CO2_ONSHORE;1;1
16;12;12INCH_CO2_ONSHORE;1;1
18;39;24INCH_CO2_OFFSHORE;1;1
21;36;16INCH_CO2_OFFSHORE;1;1
