Resource;grid;Minor time;Major Time;Scenario;rate
BIOMASS;1;1;1;LL;9.205371057364552
BIOMASS;2;1;1;LL;3.0684570186352267
BIOMASS;3;1;1;LL;6.136914038729324
BIOMASS;4;1;1;LL;6.136914038729324
BIOMASS;5;1;1;LL;4.295839826381092
BIOMASS;7;1;1;LL;7.977988249618687
BIOMASS;8;1;1;LL;5.584591774441305
BIOMASS;11;1;1;LL;5.891437476013056
BIOMASS;14;1;1;LL;4.909531230983458
BIOMASS;15;1;1;LL;17.18335930260663
BIOMASS;16;1;1;LL;19.67076630441258
CLAY;1;1;1;LL;22.000250995099098
CLAY;2;1;1;LL;7.333416997204162
CLAY;3;1;1;LL;14.666833997894932
CLAY;4;1;1;LL;14.666833997894932
CLAY;5;1;1;LL;10.266783796783148
CLAY;6;1;1;LL;26.40030119272427
CLAY;7;1;1;LL;19.06688419552011
CLAY;8;1;1;LL;13.346818936166752
CLAY;9;1;1;LL;31.68036143266376
CLAY;11;1;1;LL;14.080160635189849
CLAY;14;1;1;LL;11.733467198315944
CLAY;15;1;1;LL;41.06713518015939
CLAY;16;1;1;LL;47.01187961530276
