index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
5;CID59;-1.286254;52.377293;;;CALCINED_CLAY_CEMENT;6;1;LL;1.0;1326599.9999616002;12052100.616535958;1521495.7985228188;10234051.24595008;9.765490111197515;0.0;699548.8419145095;1134253.612767168;438719.3585383553;0.3867912375152493;0.0;9.765490111197515;70.80328145331485;657575.9113996389;29.528897982301;80.56877156451236;243.62392557848344;0.033176728559586;0.08243913560068425;0.08243913560068425;0.041219567800342125
1;CID54;-3.392125;51.397546;;;CALCINED_CLAY_BIOMASS_CEMENT;2;1;LL;1.0;368499.99995040003;3347805.726461836;422637.7217672409;13388345.36928951;38.38300261661238;0.0;120392.99117724343;315070.4479575917;205525.20256224228;0.6523150739605571;0.0;38.38300261661238;43.86711261052474;113169.4117066088;68.8194746239668;82.25011522713712;147.4717800019754;0.04871890540876489;0.10640431107973522;0.02396517547905097;0.09442172334020973
8;CID63;-0.547016;52.640356;;;CALCINED_CLAY_CEMENT;9;1;LL;1.0;1591920.000024;14462520.74047982;1825794.958307758;12841504.348020583;10.11767040438524;0.0;867629.8804218596;1361104.3353805202;526463.2302692021;0.3867912375152492;0.0;10.11767040438524;73.17935853483726;815572.0875965479;30.593821076841117;83.2970289392225;251.8736327380761;0.08853097968202067;0.20732258974447804;0.10091827866474282;0.15686345041210664
6;CID61;-2.383373;53.888913;;;CALCINED_CLAY_BIOMASS_CEMENT;7;1;LL;1.0;958100.0000112001;8704294.89007412;1098858.076755578;36330691.338757575;39.970512660965554;0.0;317040.6482015244;819183.1648095762;534365.526740002;0.6523150739605571;0.0;39.970512660965554;44.430320296957035;298018.2093094329;71.66582847241143;84.40083295792259;151.32794690417202;0.12894063949579732;0.2699161241413424;0.06259353439686438;0.23861935694291023
13;CID72;-8.688373;52.641364;;;CALCINED_CLAY_BIOMASS_CEMENT;14;1;LL;1.0;589600.0000608;5356489.163612284;676220.3549883369;23169827.28070523;41.34852955787665;0.0;190083.2736847464;504112.71685198456;328840.3241777597;0.6523150739605571;0.0;41.34852955787665;43.28742628925081;178678.27726366158;74.13656792486184;84.63595584712746;151.7495145930986;0.15380812246039505;0.3080804726990675;0.0381643485577251;0.28899829842020497
2;CID55;-1.851891;53.265267;;;CALCINED_CLAY_BIOMASS_CEMENT;3;1;LL;1.0;737000.000076;6695611.454515356;845275.4437354212;28133985.01655563;40.22465020341194;0.0;244247.80621758476;630140.8960649807;411050.4052221996;0.6523150739605572;0.0;40.22465020341194;44.49779805661398;229592.93784452963;72.12148881582128;84.72244826002591;151.90459267477152;0.1848924761661422;0.35625552633561275;0.04817505363654523;0.3321679995173401
0;CID53;-1.751755;53.337916;;;CALCINED_CLAY_BIOMASS_CEMENT;1;1;LL;1.0;1105500.0000264;10043417.18097719;1267913.1655026616;42365910.452089764;40.37384326591434;0.0;366697.8641676078;945211.3440225723;616575.6077844419;0.6523150739605572;0.0;40.37384326591434;44.53741130508214;344695.9923175513;72.38898712181654;84.91125457099648;152.24311624616766;0.2315190067210683;0.42854116138571846;0.07228563505010571;0.39239834386066563
12;CID71;-7.143371;53.432118;;;CALCINED_CLAY_BIOMASS_CEMENT;13;1;LL;1.0;515899.99996559997;4686928.017364906;591692.810514325;20955361.826589063;42.67003170840953;0.0;163182.0570858088;441098.6271705878;287735.2836066822;0.6523150739605572;0.0;42.67003170840953;42.469995279136185;153391.13366066024;76.50597827617065;85.14002698754572;152.6532977442811;0.2532780543113966;0.4617129550870662;0.03317179370134776;0.4451270582363923
10;CID68;-1.875169;53.044003;;;CALCINED_CLAY_BIOMASS_CEMENT;11;1;LL;1.0;707519.9999328001;6427786.995061395;811464.4258252529;27274173.92913144;40.599972906111056;0.0;235003.01572243986;604935.2601025436;394608.38893513964;0.6523150739605572;0.0;40.599972906111056;44.5974524991758;220902.83477909342;72.79443020793167;85.19742540528685;152.75621123941974;0.2831190338630024;0.5079981253572897;0.0462851702702235;0.48485554022217797
14;CID73;-6.387712;53.684307;;;CALCINED_CLAY_BIOMASS_CEMENT;15;1;LL;1.0;2063599.999512;18747712.066276256;2366771.2416554214;84086208.95736888;42.798332573552074;0.0;653251.7944254248;1764394.5083827563;1150941.1342312985;0.6523150739605571;0.0;42.798332573552074;42.50406130046671;614056.6867598993;76.73601755217791;85.30239387401878;152.94441628795045;0.37015522420953695;0.6407223089687316;0.1327241836114419;0.5743602171630107
