Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;20.93024338856209
EMITTED_CO2;2;1;1;LL;6.8717460717604695
EMITTED_CO2;3;1;1;LL;13.94108482977082
EMITTED_CO2;4;1;1;LL;14.463934988275303
EMITTED_CO2;5;1;1;LL;10.039470237249228
EMITTED_CO2;6;1;1;LL;39.928586867266525
EMITTED_CO2;7;1;1;LL;18.095927408762808
EMITTED_CO2;8;1;1;LL;12.869839319139276
EMITTED_CO2;9;1;1;LL;49.52225344873628
EMITTED_CO2;10;1;1;LL;7.012018167788284
EMITTED_CO2;11;1;1;LL;13.413414139408667
EMITTED_CO2;12;1;1;LL;15.879096190348692
EMITTED_CO2;13;1;1;LL;9.31404435421283
EMITTED_CO2;14;1;1;LL;10.849501922645343
EMITTED_CO2;15;1;1;LL;37.2860613256521
EMITTED_CO2;16;1;1;LL;43.51600196348343
