From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;24.135488014275
3;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;40.2258133584
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835585
7;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.917422945450003
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.755102740249995
10;21;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.57462327299999
11;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.16440068314999
12;10;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.57462327299999
15;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.05291094825
16;12;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.57462327299999
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;140.307636987
21;36;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;98.90032952547368
