From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;35.3987157532539
3;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.48904109739545
4;21;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.090325344124995
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835584999
7;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;20.91742294545
8;18;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.64219606103434
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.75510274024999
10;21;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;98.71927652497496
11;18;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.16440068313754
12;10;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;83.27256419767498
13;15;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
14;16;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;12.872260275299997
15;21;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;56.316138687224985
16;12;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;64.44688354831585
18;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;388.8456926787007
21;36;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;228.4
