OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID53;1;OLIVINE;0.0097260864867256;0.05610355671
CID54;2;OLIVINE;0.00599565839823;0.04248271411
CID55;3;OLIVINE;0.0094597856017699;0.05550848741
CID56;4;OLIVINE;0.0101281396902654;0.04767771126
CID58;5;OLIVINE;0.0080400586212389;0.05220711284
CID59;6;OLIVINE;0.0125294244424778;0.05643850572
CID61;7;OLIVINE;0.0090464617079646;0.05458488417
CID62;8;OLIVINE;0.0070457856;0.0501142233599999
CID63;9;OLIVINE;0.0113135134867256;0.05952189325
CID67;10;OLIVINE;0.0096792976283185;0.06108365846
CID68;11;OLIVINE;0.0101453041858407;0.0570403301
CID70;12;OLIVINE;0.0112268126725663;0.06454169689
CID71;13;OLIVINE;0.0082589843203539;0.04849229509
CID72;14;OLIVINE;0.0072387046123893;0.0501846306099999
CID73;15;OLIVINE;0.0074403329929203;0.0466629573
CID74;16;OLIVINE;0.011328264;0.06476839749
CID53;1;BIOMASS;0.0173247912212389;0.1650275871
CID54;2;BIOMASS;0.0135943064955752;0.1514066178999999
CID55;3;BIOMASS;0.0170584903362831;0.1644325178
CID56;4;BIOMASS;0.018487642159292;0.1683572572999999
CID58;5;BIOMASS;0.0165602212920354;0.1747588522
CID59;6;BIOMASS;0.0206847295486725;0.1718486032
CID61;7;BIOMASS;0.0166451699823008;0.1635089225
CID62;8;BIOMASS;0.0146443735221238;0.1590379927
CID63;9;BIOMASS;0.0203289575752212;0.1831803761
CID67;10;BIOMASS;0.0162590686814159;0.158133794
CID68;11;BIOMASS;0.0177440124601769;0.1659643684
CID70;12;BIOMASS;0.013949638938053;0.03117151443
CID71;13;BIOMASS;0.0117265805309734;0.02620392369
CID72;14;BIOMASS;0.0060928637168141;0.01361496094
CID73;15;BIOMASS;0.014469614159292;0.03233343806
CID74;16;BIOMASS;0.0140371646017699;0.03136709709
CID53;1;CLAY;0.0159217041681415;0.07225212297
CID54;2;CLAY;0.0121912194424778;0.05863115381
CID55;3;CLAY;0.0156554103628318;0.07165706949
CID56;4;CLAY;0.0150118632477876;0.05142845589
CID58;5;CLAY;0.0110677042300884;0.03432874907
CID59;6;CLAY;0.0165736363716814;0.04751640513
CID61;7;CLAY;0.0152420829292035;0.07073345834
CID62;8;CLAY;0.0132412864690265;0.06626252859
CID63;9;CLAY;0.0148364405132743;0.04275027295
CID67;10;CLAY;0.0158749294690265;0.07723225635
CID68;11;CLAY;0.0163409254070796;0.07318890427
CID70;12;CLAY;0.0174224338938053;0.08069027105
CID71;13;CLAY;0.0144625453628318;0.06465861139
CID72;14;CLAY;0.0134422727345132;0.06635096273
CID73;15;CLAY;0.0136438763362831;0.06282923405
CID74;16;CLAY;0.0175318675221238;0.0809348087
