Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;24.39175558993368
OLIVINE;2;1;1;LL;8.130585195356021
OLIVINE;3;1;1;LL;16.261170394577654
OLIVINE;4;1;1;LL;16.261170394577654
OLIVINE;5;1;1;LL;11.382819274271553
OLIVINE;6;1;1;LL;29.27010670637417
OLIVINE;7;1;1;LL;21.139521511018145
OLIVINE;8;1;1;LL;14.797665056939575
OLIVINE;9;1;1;LL;35.12412804919524
OLIVINE;11;1;1;LL;15.61072357570206
OLIVINE;12;1;1;LL;19.02556935837009
OLIVINE;13;1;1;LL;11.382819274271553
OLIVINE;14;1;1;LL;13.008936315662122
OLIVINE;15;1;1;LL;45.53127708935499
OLIVINE;16;1;1;LL;52.12223613518302
BIOMASS;1;1;1;LL;8.416865880669944
BIOMASS;2;1;1;LL;2.8056219597786782
BIOMASS;8;1;1;LL;5.106231967277401
BIOMASS;12;1;1;LL;6.565155386308959
BIOMASS;13;1;1;LL;3.927870743956932
BIOMASS;14;1;1;LL;4.488995136713011
BIOMASS;15;1;1;LL;15.71148297315991
BIOMASS;16;1;1;LL;17.9858259620925
