index;OID;Longitude;Latitude;route_CO2;PIP_IDs;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
13;CID72;-8.688373;52.641364;;;BIOMASS_MINERAL_CEMENT;14;1;LL;1.0;589600.0000608;30236640.45517627;1870467.6169834076;26920399.72361826;53.934591010902736;0.0;189989.5277871977;504112.71685198456;326631.8761367707;0.647934212365198;0.0;53.934591010902736;43.266077653195694;178590.15611996583;97.35680191235198;97.20066866409843;175.45597486714678;0.024700476244315442;0.03816819767677073;0.03816819767677073;0.019084098838385365
4;CID58;-0.529654;53.675822;;;MINERAL_CEMENT;5;1;LL;1.0;515899.99996559997;26457060.393786818;1636659.1645825766;9690879.47335597;27.06025435314972;0.0;272797.09762783296;441098.6271705878;178713.03710542194;0.405154371601133;0.0;27.06025435314972;70.99856231328066;256429.27177016294;78.11621046775622;98.05881666643037;283.0713658847187;0.0382150700426364;0.07104205630186296;0.03287385862509223;0.05460512698931684
6;CID61;-2.383373;53.888913;;;MINERAL_CEMENT;7;1;LL;1.0;958100.0000112001;49134540.73516903;3039509.877320132;18418539.153146278;27.499865623743123;0.0;507503.82324062916;819183.1648095762;331895.6403646512;0.405154371601133;0.0;27.499865623743123;71.12197614540142;477053.59384619136;79.38525864777361;98.62184176914454;284.6966790413606;0.06331360138434226;0.13215604641015963;0.06111399010829667;0.1015990513560113
12;CID71;-7.143371;53.432118;;;BIOMASS_MINERAL_CEMENT;13;1;LL;1.0;515899.99996559997;26457060.393786818;1636659.1645825766;24223363.75834095;55.22944273452983;0.0;166769.66518032318;441098.6271705878;285802.8915711449;0.647934212365198;0.0;55.22944273452983;43.40371128663384;156763.48526950376;99.69412607482775;98.63315402116368;178.04174015313836;0.0849265180944484;0.16559077387224735;0.03343472746208773;0.14887341014120348
14;CID73;-6.387712;53.684307;;;BIOMASS_MINERAL_CEMENT;15;1;LL;1.0;2063599.999512;105828241.5571776;6546636.657218684;97008734.17918582;55.28530586803527;0.0;667306.6251514207;1764394.5083827563;1143211.566090462;0.6479342123651981;0.0;55.28530586803527;43.41854388106315;627268.2276423353;99.79496406990577;98.70384974909842;178.1693523191266;0.1713781849201934;0.29934587249308864;0.13375509862084128;0.232468323182668
3;CID56;-2.47192;55.979125;;;MINERAL_CEMENT;4;1;LL;1.0;737000.000076;37795800.568970345;2338084.5212292597;14516333.957385868;27.972358045958597;0.0;388419.7324767259;630140.8960649807;255304.33876538207;0.40515437160113293;0.0;27.972358045958597;70.76347208439743;365114.5485281223;80.74922651801307;98.73583013035604;285.0257350324488;0.1906847474925016;0.3462168900273895;0.04687101753430084;0.32278138126023903
2;CID55;-1.851891;53.265267;;;MINERAL_CEMENT;3;1;LL;1.0;737000.000076;37795800.568970345;2338084.5212292597;14301169.290717818;27.68041141550288;0.0;390650.6869711284;630140.8960649807;255304.33876538207;0.40515437160113293;0.0;27.68041141550288;71.1699140668363;367211.64575286064;79.9064493536744;98.85032548233917;285.3562545795443;0.2099913100648098;0.39324633774943113;0.04702944772204165;0.3697316138884103
10;CID68;-1.875169;53.044003;;;MINERAL_CEMENT;11;1;LL;1.0;707519.9999328001;36283968.53902366;2244561.139935441;13940985.367125;27.979855743261478;0.0;375443.61820535996;604935.2601025436;245092.16516621405;0.40515437160113305;0.0;27.979855743261478;71.2494215342676;352917.00111303834;80.77087050157994;99.22927727752908;286.45019397138674;0.22852561013055403;0.43842435971556054;0.04517802196612941;0.41583534873249584
9;CID67;-6.767677;54.618105;;;MINERAL_CEMENT;10;1;LL;1.0;353759.99996640004;18141984.26951183;1122280.5699677204;6898481.887617924;27.776297410065478;0.0;188274.73400733885;302467.6300512718;122546.08258310703;0.40515437160113305;0.0;27.776297410065478;71.45928302983462;176978.2499668985;80.18324832364748;99.2355804399001;286.4683896303026;0.23779276016342615;0.461052636401566;0.022628276686005477;0.44973849805856325
1;CID54;-3.392125;51.397546;;;BIOMASS_MINERAL_CEMENT;2;1;LL;1.0;368499.99995040003;18897900.27999275;1169042.2603367246;17041826.053408783;54.52231483770389;0.0;124419.41292446204;315070.4479575917;204144.9225369523;0.6479342123651981;0.0;54.52231483770389;45.33420379644496;116954.2481489943;98.41769643500595;99.85651863414884;180.25002363245315;0.2532305578124534;0.48531083544693226;0.024258199045366247;0.47318173592424917
8;CID63;-0.547016;52.640356;;;MINERAL_CEMENT;9;1;LL;1.0;1591920.000024;81638929.22178806;5050262.565410552;32179558.796720352;28.490146283756424;0.0;846275.2322921144;1361104.3353805202;551457.3716846724;0.405154371601133;0.0;28.490146283756424;71.3782224892321;795498.7183545874;82.24395211939442;99.86836877298853;288.2950918469182;0.29493273296496747;0.5870698305503433;0.10175899510341108;0.5361903329986378
5;CID59;-1.286254;52.377293;;;MINERAL_CEMENT;6;1;LL;1.0;1326599.9999616002;68032441.01516178;4208552.137656857;27520892.480184503;29.021273589740478;0.0;703648.161255389;1134253.612767168;459547.80971699697;0.4051543716011331;0.0;29.021273589740478;71.21818495063889;661429.2715800656;83.77718428631943;100.23945854037936;289.3663355238482;0.3296845455905327;0.6717567050299851;0.08468687447964174;0.6294132677901643
7;CID62;-3.061635;53.152678;;;BIOMASS_MINERAL_CEMENT;8;1;LL;1.0;670669.9999727999;34394178.51282135;2127656.9140129304;31429919.322032295;55.13930367264244;0.0;229104.55100064378;573428.2153367437;371543.7590521942;0.647934212365198;0.0;55.13930367264244;45.86698285591369;215358.27794060516;99.53141693718061;101.00628652855613;182.32545839598674;0.3577813373144046;0.7160956125490798;0.04433890751909475;0.6939261587895325
11;CID70;-7.572383;54.143487;;;BIOMASS_MINERAL_CEMENT;12;1;LL;1.0;862289.9999400001;44221086.65805819;2735558.889365795;41894426.83032029;56.86091770088367;0.0;284664.67768307804;737264.8482686997;477699.11876752716;0.647934212365198;0.0;56.86091770088367;44.3256965434836;267584.7970220933;102.63908555532448;101.18661424436726;182.65096618938009;0.39390578381547714;0.7723998550543248;0.05630424250524502;0.7442477338017024
