process_tech;grid;Major Time;Scenario;number
LARGE_CO2_COMPRESSOR;18;1;LL;1.0
INCUMBENT_CEMENT;1;1;LL;1.0
INCUMBENT_CEMENT;2;1;LL;1.0
INCUMBENT_CEMENT;3;1;LL;1.0
INCUMBENT_CEMENT;4;1;LL;1.0
INCUMBENT_CEMENT;5;1;LL;1.0
INCUMBENT_CEMENT;6;1;LL;1.0
INCUMBENT_CEMENT;7;1;LL;1.0
INCUMBENT_CEMENT;8;1;LL;1.0
INCUMBENT_CEMENT;9;1;LL;1.0
INCUMBENT_CEMENT;10;1;LL;1.0
INCUMBENT_CEMENT;11;1;LL;1.0
INCUMBENT_CEMENT;12;1;LL;1.0
INCUMBENT_CEMENT;13;1;LL;1.0
INCUMBENT_CEMENT;14;1;LL;1.0
INCUMBENT_CEMENT;15;1;LL;1.0
INCUMBENT_CEMENT;16;1;LL;1.0
MINERAL_CEMENT;3;1;LL;1.0
MINERAL_CEMENT;4;1;LL;1.0
MINERAL_CEMENT;5;1;LL;1.0
MINERAL_CEMENT;6;1;LL;1.0
MINERAL_CEMENT;7;1;LL;1.0
MINERAL_CEMENT;9;1;LL;1.0
MINERAL_CEMENT;10;1;LL;1.0
MINERAL_CEMENT;11;1;LL;1.0
BIOMASS_MINERAL_CEMENT;1;1;LL;1.0
BIOMASS_MINERAL_CEMENT;2;1;LL;1.0
BIOMASS_MINERAL_CEMENT;8;1;LL;1.0
BIOMASS_MINERAL_CEMENT;12;1;LL;1.0
BIOMASS_MINERAL_CEMENT;13;1;LL;1.0
BIOMASS_MINERAL_CEMENT;14;1;LL;1.0
BIOMASS_MINERAL_CEMENT;15;1;LL;1.0
BIOMASS_MINERAL_CEMENT;16;1;LL;1.0
