Resource;grid;Minor time;Major Time;Scenario;rate
OLIVINE;1;1;1;LL;24.39175558993367
OLIVINE;2;1;1;LL;8.13058519535602
OLIVINE;3;1;1;LL;16.26117039457765
OLIVINE;4;1;1;LL;16.26117039457765
OLIVINE;5;1;1;LL;11.382819274271547
OLIVINE;6;1;1;LL;29.27010670637416
OLIVINE;7;1;1;LL;21.139521511018145
OLIVINE;8;1;1;LL;14.797665056939572
OLIVINE;9;1;1;LL;35.124128049195235
OLIVINE;10;1;1;LL;7.8053617878510275
OLIVINE;11;1;1;LL;15.610723575702057
OLIVINE;12;1;1;LL;19.025569358370085
OLIVINE;13;1;1;LL;11.382819274271547
OLIVINE;14;1;1;LL;13.00893631566212
OLIVINE;15;1;1;LL;45.53127708935497
OLIVINE;16;1;1;LL;52.12223613518301
BIOMASS;1;1;1;LL;8.41686588066814
BIOMASS;2;1;1;LL;2.805621959778678
BIOMASS;8;1;1;LL;5.1062319672774
BIOMASS;12;1;1;LL;6.565155386308957
BIOMASS;13;1;1;LL;3.92787074395693
BIOMASS;14;1;1;LL;4.48899513671301
BIOMASS;15;1;1;LL;15.711482973159908
BIOMASS;16;1;1;LL;17.985825962092495
