From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;48.27097602855002
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;80.45162671680002
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123120002
7;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.83484589090001
8;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;29.284392122100005
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.5102054805
11;18;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;238.78042808310008
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;166.22332187355005
16;15;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.149246546
18;39;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;309.8996660961
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;167.9673584618366
