index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
7;CID62;-3.061635;53.152678;LINESTRING (-3.061634988237042 53.15267800676049, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID7', 'PIPEID17'];62.64996843220235;CCS_CEMENT;8;1;LL;1.0;670669.9999727999;24600927.868110437;1259551.785217988;16740152.367260063;30.48867499083395;513062.5499791919;194443.21605415913;573428.2153367437;378984.99928258464;0.6609109721955816;9.742022888847252;40.2306978796812;38.927745512919905;182776.62309090726;71.19416915431297;79.1584433926011;140.08257141696916;0.02865951138158851;0.043224351715627246;0.043224351715627246;0.021612175857813623
10;CID68;-1.875169;53.044003;LINESTRING (-1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID10', 'PIPEID17'];140.173649351203;CCS_CEMENT;11;1;LL;1.0;707519.9999328001;25952627.20011068;1328757.9271906177;17659940.957906652;30.48867499083395;541252.7999485921;205126.9092327844;604935.2601025436;399808.3508697592;0.6609109721955817;10.847782552680657;41.336457543514605;38.927745512919884;192819.29467881488;73.15097439757301;80.2642030564345;142.03937666022915;0.0588937211890914;0.08882366780875238;0.04559931609312513;0.0660240097621898
2;CID55;-1.851891;53.265267;LINESTRING (-1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID2', 'PIPEID10', 'PIPEID17'];165.07028640663162;CCS_CEMENT;3;1;LL;1.0;737000.000076;27033986.672137402;1384122.8410977551;18395771.834796973;30.488674990833957;563805.00005814;213673.86382647933;630140.8960649807;416467.03223850136;0.6609109721955817;11.395701121484809;41.88437611231876;38.9277455129199;200853.43199688802;74.12059733046114;80.81212162523866;143.00899959311732;0.09038768974481254;0.13632295541516734;0.04749928760641496;0.11257331161195985
14;CID73;-6.387712;53.684307;LINESTRING (-6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID14', 'PIPEID18'];171.40478658541127;CCS_MINERAL_CEMENT;15;1;LL;1.0;2063599.999512;123534783.82927749;7396550.68627948;59713060.6822959;38.47792482719883;1105057.799738676;522869.7338349225;1764394.5083827563;1278748.1877047196;0.7247518520542324;8.359440539973876;46.8373653671727;34.02070596472792;491497.5498048209;75.58453499928602;80.85807133190062;130.48598431295008;0.18708887398451596;0.27253326479498624;0.1362103093798189;0.20442811010507678
0;CID53;-1.751755;53.337916;LINESTRING (-1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID2', 'PIPEID10', 'PIPEID17'];175.65053272953742;CCS_CEMENT;1;1;LL;1.0;1105500.0000264;40550980.00499283;2076184.2614821154;27593657.750008933;30.488674990833953;845707.500020196;320510.79571432166;945211.3440225723;624700.5483082507;0.6609109721955817;11.734334401259535;42.22300939209349;38.9277455129199;301280.1479714585;74.71985899561207;81.15075490501339;143.60826125826821;0.23432982681435427;0.3437821961989629;0.07124893140397665;0.3081577304969746
6;CID61;-2.383373;53.888913;LINESTRING (-2.383372988588973 53.8889130062651, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID6', 'PIPEID17'];148.7606277284209;CCS_CEMENT;7;1;LL;1.0;958100.0000112001;35144182.67056536;1799359.6932625645;23914503.38304954;30.488674990833957;732946.500008568;277776.02294902573;819183.1648095762;541407.1418605505;0.6609109721955817;13.332074250060836;43.82074924089479;38.927745512919884;261109.46157208085;77.54729592947636;82.74849475381467;146.43569819213246;0.27527198593304836;0.40553127008165657;0.061749073882693684;0.37465673314030973
5;CID59;-1.286254;52.377293;LINESTRING (-1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID5', 'PIPEID10', 'PIPEID17'];225.18099864009423;CCS_CEMENT;6;1;LL;1.0;1326599.9999616002;48661176.00342079;2491421.113646925;33112389.2982615;30.488674990833957;1014848.9999706241;384612.95483686816;1134253.612767168;749640.6579302999;0.6609109721955817;13.397450670990796;43.88612566182475;38.92774551291989;361536.17754665145;77.66298917408055;82.81387117474463;146.55139143673668;0.33196112932585964;0.4910299877619119;0.08549871768025535;0.4482806289217842
15;CID74;-7.578912;54.130891;LINESTRING (-7.578911986405142 54.13089100740338, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID15', 'PIPEID14', 'PIPEID18'];264.41625868032486;CCS_CEMENT;16;1;LL;1.0;2362319.999328;86652547.31420785;4436555.045745916;58964314.387970604;30.48867499083395;1807174.79948592;684892.8653988166;2019802.497985435;1334909.6325866184;0.6609109721955818;13.985324606730195;44.473999597564145;38.927745512919884;643799.2934748793;78.70331903730123;83.40174511048403;147.59172129995736;0.4329093406823252;0.6432803501159087;0.15225036235399675;0.5671551689389103
12;CID71;-7.143371;53.432118;LINESTRING (-7.14337098652492 53.43211800764301, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID12', 'PIPEID14', 'PIPEID18'];228.99696941960002;CCS_CEMENT;13;1;LL;1.0;515899.99996559997;18923790.667282913;968885.9886039114;12877040.282171354;30.488674990833953;394663.49997368397;149571.70465313818;441098.6271705878;291526.9225174496;0.6609109721955817;14.01478423245587;44.50345922328982;38.92774551291989;140597.4023739481;78.7554522014688;83.43120473620971;147.64385446412493;0.45495511866758664;0.6765298514347533;0.03324950131884463;0.6599051007753309
8;CID63;-0.547016;52.640356;LINESTRING (-0.5470159891996003 52.64035600642213, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID8', 'PIPEID10', 'PIPEID17'];241.32356791579295;CCS_CEMENT;9;1;LL;1.0;1591920.000024;58393411.20667555;2989705.3365079234;39734867.15966302;30.488674990833953;1217818.80001836;461535.54582455946;1361104.3353805202;899568.7895559607;0.6609109721955817;14.145236857919524;44.63391184875348;38.927745512919884;433843.4130750804;78.98630741336844;83.56165736167335;147.87470967602457;0.5229820907419549;0.7791283126555764;0.10259846122082306;0.7278290820451648
11;CID70;-7.572383;54.143487;LINESTRING (-7.572382986409267 54.14348700739539, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID11', 'PIPEID14', 'PIPEID18'];264.8077693807775;CCS_CEMENT;12;1;LL;1.0;862289.9999400001;31629764.400938205;1619423.7238046944;21523053.042995367;30.488674990833953;659651.8499541001;249998.42063380533;737264.8482686997;487266.4276348944;0.6609109721955817;14.998027829166634;45.48670282000059;38.927745512919884;234998.515395774;80.4954471464602;84.41444833292047;149.38384940911632;0.5598300339457849;0.8347024791454841;0.05557416648990776;0.8069153959005302
4;CID58;-0.529654;53.675822;LINESTRING (-0.5296539893112743 53.67582200595663, -1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID4', 'PIPEID0', 'PIPEID2', 'PIPEID10', 'PIPEID17'];265.91793255678954;CCS_CEMENT;5;1;LL;1.0;515899.99996559997;18923790.667282913;968885.9886039114;12877040.282171354;30.488674990833953;394663.49997368397;149571.70465313818;441098.6271705878;291526.9225174496;0.6609109721955817;16.061055569652122;46.549730560486076;38.92774551291989;140597.4023739481;82.37663193222237;85.47747607340597;151.2650341948785;0.5818758119310463;0.8679519804643288;0.03324950131884463;0.8513272298049064
9;CID67;-6.767677;54.618105;LINESTRING (-6.767676986807034 54.61810500695669, -7.572382986409267 54.14348700739539, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID9', 'PIPEID11', 'PIPEID14', 'PIPEID18'];339.34331343941074;CCS_CEMENT;10;1;LL;1.0;353759.99996640004;12976313.60005534;664378.9635953088;8829970.478953326;30.48867499083395;270626.39997429604;102563.45461639219;302467.6300512718;199904.1754348796;0.6609109721955817;20.208314956921733;50.69698994775568;38.927745512919884;96409.64733940743;89.71582070859226;89.62473546067557;158.6042229712484;0.5969929168347977;0.8907516385108915;0.0227996580465627;0.87935180948761
1;CID54;-3.392125;51.397546;LINESTRING (-3.392124987895259 51.39754600769721, -3.061634988237042 53.15267800676049, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID1', 'PIPEID7', 'PIPEID17'];260.7212026205305;CCS_CEMENT;2;1;LL;1.0;368499.99995040003;13516993.332855435;692061.4203843604;9197885.915211963;30.48867499083396;281902.49996205606;106836.93188784232;315070.4479575917;208233.51606974934;0.6609109721955817;23.033161989709896;53.52183698054385;38.92774551291989;100426.7159745705;94.71480526732034;92.44958249346374;163.60320752997646;0.6127399011089149;0.9145012823084531;0.023749643797561615;0.9026264604096723
13;CID72;-8.688373;52.641364;LINESTRING (-8.688372985746735 52.6413640084825, -7.14337098652492 53.43211800764301, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID13', 'PIPEID12', 'PIPEID14', 'PIPEID18'];365.27502766337955;CCS_CEMENT;14;1;LL;1.0;589600.0000608;21627189.337709922;1107298.2728782042;14716617.46783758;30.488674990833957;451044.000046512;170939.09106118343;504112.71685198456;333173.62579080113;0.6609109721955817;23.21140504193345;53.7000800327674;38.927745512919884;160682.74559751037;95.03023270654936;92.62782554568729;163.91863496920547;0.6379350759534917;0.9525007123935851;0.03799943008513207;0.9335009973510191
3;CID56;-2.47192;55.979125;LINESTRING (-2.471919988719641 55.97912500537524, -1.843626091050819 57.55512209462137, -1.689003390130606 58.1750406243583);['PIPEID3', 'PIPEID16'];251.0747096122476;CCS_CEMENT;4;1;LL;1.0;737000.000076;27033986.672137402;1384122.8410977551;18395771.834796973;30.488674990833957;563805.00005814;213673.86382647933;630140.8960649807;416467.03223850136;0.6609109721955817;24.600474392622147;55.0891493834561;38.9277455129199;200853.43199688802;97.48839633611817;94.016894896376;166.37679859877434;0.6694290445092129;1.0;0.047499287606414864;0.9762503561967926
