From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.7974315065
2;8;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.09032534029393
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.97808219475002
4;17;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;32.180650688250005
5;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.52645547795
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123120608
7;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.834845890884765
8;18;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.3747174623951
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.51020548049999
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327299998
11;18;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.3068835610561
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;53.09807362605645
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;48.2709760285691
14;13;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.744520550619104
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;267.5923715281691
16;15;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.1492465459886
17;86;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;44.29714077314817
18;39;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;628.1
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.40000000000003
