From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.79743150650002
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.97808219475004
5;109;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.92517123120002
7;96;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.83484589090001
8;101;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;29.284392122100005
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.5102054805
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300004
11;96;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.30688356105003
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300004
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;101.04724313280003
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;101.04724313280003
96;97;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.14172945195
97;98;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.14172945195
98;99;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.14172945195
99;100;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.14172945195
100;101;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.14172945195
101;102;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;332.42612157405006
102;103;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;332.42612157405006
103;104;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;332.42612157405006
104;105;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;332.42612157405006
105;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;334.0904541918834
109;110;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
110;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.526455477950005
