index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
7;CID62;-3.061635;53.152678;LINESTRING (-3.061634988237042 53.15267800676049, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID7', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];67.17108519020883;CCS_CEMENT;8;1;LL;1.0;670669.9999727999;24600927.868110437;1259551.785217988;16740152.367260063;30.48867499083395;513062.5499791919;194443.21605415913;573428.2153367437;378984.99928258464;0.6609109721955816;8.793154975124441;39.281829965958394;38.927745512919905;182776.62309090953;69.51500706379403;78.20957547887829;138.4034093264502;0.02865951138158851;0.042802683389100524;0.042802683389100524;0.021401341694550262
10;CID68;-1.875169;53.044003;LINESTRING (-1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];164.58995206005378;CCS_CEMENT;11;1;LL;1.0;707519.9999328001;25952627.20011068;1328757.9271906177;17659940.957906652;30.48867499083395;541252.7999485921;205126.9092327844;604935.2601025436;399808.3508697592;0.6609109721955817;10.249054605089235;40.737729595923184;38.927745512919884;192819.2946788173;72.09143675530491;79.66547510884307;140.97983901796104;0.0588937211890914;0.08795716256635351;0.04515447917725299;0.06537992297772702
2;CID55;-1.851891;53.265267;LINESTRING (-1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID2', 'PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];189.48658911548242;CCS_CEMENT;3;1;LL;1.0;737000.000076;27033986.672137402;1384122.8410977551;18395771.834796973;30.488674990833957;563805.00005814;213673.86382647933;630140.8960649807;416467.03223850136;0.6609109721955817;10.796973173893385;41.28564816472734;38.9277455129199;200853.43199689052;73.06105968819304;80.21339367764725;141.9494619508492;0.09038768974481254;0.13499307838530988;0.04703591581895637;0.11147512047583169
0;CID53;-1.751755;53.337916;LINESTRING (-1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID2', 'PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];200.06683543838818;CCS_CEMENT;1;1;LL;1.0;1105500.0000264;40550980.00499283;2076184.2614821154;27593657.750008933;30.488674990833953;845707.500020196;320510.79571432166;945211.3440225723;624700.5483082507;0.6609109721955817;11.135606453668114;41.62428144450207;38.9277455129199;301280.1479714623;73.66032135334395;80.55202695742196;142.5487236160001;0.13762864257465085;0.20554695210815374;0.07055387372284386;0.1702700152467318
6;CID61;-2.383373;53.888913;LINESTRING (-2.383372988588973 53.8889130062651, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID6', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];168.38277758949027;CCS_CEMENT;7;1;LL;1.0;958100.0000112001;35144182.67056536;1799359.6932625645;23914503.38304954;30.488674990833957;732946.500008568;277776.0229490258;819183.1648095762;541407.1418605505;0.6609109721955817;12.066705766041046;42.555380756875;38.9277455129199;261109.4615720842;75.30803927617976;81.4831262697949;144.1964415388359;0.17857080169334494;0.2666936426672063;0.06114669055905256;0.23612029738768003
5;CID59;-1.286254;52.377293;LINESTRING (-1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID5', 'PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];249.59730134894497;CCS_CEMENT;6;1;LL;1.0;1326599.9999616002;48661176.00342079;2491421.113646925;33112389.2982615;30.488674990833957;1014848.9999706241;384612.95483686816;1134253.612767168;749640.6579302999;0.6609109721955817;12.798722723401294;43.287397714235254;38.92774551291989;361536.17754665593;76.60345153181584;82.21514322715515;145.49185379447198;0.23525994508615622;0.3513582911301464;0.08466464846294008;0.30902596689867634
14;CID73;-6.387712;53.684307;LINESTRING (-6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID14', 'PIPEID16'];171.40478658541127;CCS_BIOMASS_MINERAL_CEMENT;15;1;LL;1.0;2063599.999512;123534783.82927749;7396550.68627948;120106292.98029494;67.74388349761986;1105057.799738676;106589.25349780674;1764394.5083827563;1707107.605494876;0.9675316928182974;7.634581318558175;75.37846481617804;6.935267845114146;100193.8982879383;91.11962213582161;82.31373266129218;99.50317023538285;0.3643544209675;0.4890632374527861;0.13770494632263974;0.42021076429146625
8;CID63;-0.547016;52.640356;LINESTRING (-0.5470159891996003 52.64035600642213, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID8', 'PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];265.73987062464374;CCS_CEMENT;9;1;LL;1.0;1591920.000024;58393411.20667555;2989705.3365079234;39734867.15966302;30.488674990833953;1217818.80001836;461535.5458245596;1361104.3353805202;899568.7895559607;0.6609109721955817;13.5465089103281;44.03518390116206;38.9277455129199;433843.4130750859;77.92676977110033;82.96292941408196;146.81517203375648;0.43238139304186823;0.5906608156127867;0.10159757816000059;0.5398620265327865
4;CID58;-0.529654;53.675822;LINESTRING (-0.5296539893112743 53.67582200595663, -0.7653118282109082 53.59902350604057, -0.7314227822182972 53.53666765606081, -1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID4', 'PIPEID34', 'PIPEID35', 'PIPEID0', 'PIPEID2', 'PIPEID10', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28', 'PIPEID29', 'PIPEID30'];297.42765396979655;CCS_CEMENT;5;1;LL;1.0;515899.99996559997;18923790.667282913;968885.9886039114;12877040.282171354;30.488674990833953;394663.49997368397;149571.70465313818;441098.6271705878;291526.9225174496;0.6609109721955817;15.558145379725016;46.04682037055897;38.92774551291989;140597.40237394985;81.48665798152982;84.97456588347886;150.37506024418596;0.45442717102712965;0.6235859566804656;0.032925141067678854;0.6071233861466261
12;CID71;-7.143371;53.432118;LINESTRING (-7.14337098652492 53.43211800764301, -6.387711986882004 53.68430700731975, -6.237575177942008 53.63410951730638, -4.00339805394843 54.18761158649712);['PIPEID12', 'PIPEID14', 'PIPEID16'];228.99696941960002;CCS_BIOMASS_CEMENT;13;1;LL;1.0;515899.99996559997;18923790.667282913;968885.9886039114;33502118.09694121;70.46750386492802;394663.49997368397;12765.277294276431;441098.6271705878;430780.6271712758;0.9766084060032187;12.97927105900569;83.4467749239337;3.322309303526558;11999.360656619843;99.93529992998113;86.76908422746025;103.91407534713468;0.4870035587753356;0.6573229918840321;0.03373703520356652;0.6404544742822489
