From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.7974315065
2;8;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.090325340296843
3;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;102.97808219475002
4;123;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;32.180650688250005
5;109;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.52645547795
6;11;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;57.925171231162416
7;96;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;41.83484589090179
8;101;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.37471746243759
9;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;69.51020548049999
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300002
11;96;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;261.30688356101246
12;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;53.09807362605001
13;15;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;48.27097602855
14;13;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;25.7445205506
15;22;16INCH_CO2_ONSHORE;MODE_1;1;1;LL;267.59237152815
16;15;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;103.149246546
22;40;16INCH_CO2_OFFSHORE;MODE_1;1;1;LL;285.4
96;97;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.1417294519126
97;98;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.1417294519126
98;99;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.1417294519126
99;100;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.1417294519126
100;101;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;303.1417294519126
101;102;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;348.51644691435024
102;103;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;348.51644691435024
103;104;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;348.51644691435024
104;105;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;348.51644691435024
105;39;24INCH_CO2_OFFSHORE;MODE_1;1;1;LL;505.57301067232646
109;110;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.52645547795
110;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;22.52645547795
123;124;32INCH_CO2_ONSHORE;MODE_1;1;1;LL;32.18065068824988
124;86;9INCH_CO2_OFFSHORE;MODE_1;1;1;LL;57.1
