From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;3;12INCH_CO2_ONSHORE;1;LL;1.0
2;8;6INCH_CO2_ONSHORE;1;LL;1.0
3;11;12INCH_CO2_ONSHORE;1;LL;1.0
4;123;9INCH_CO2_ONSHORE;1;LL;1.0
5;109;6INCH_CO2_ONSHORE;1;LL;1.0
6;11;9INCH_CO2_ONSHORE;1;LL;1.0
7;96;9INCH_CO2_ONSHORE;1;LL;1.0
8;101;9INCH_CO2_ONSHORE;1;LL;1.0
9;11;12INCH_CO2_ONSHORE;1;LL;1.0
10;12;6INCH_CO2_ONSHORE;1;LL;1.0
11;96;16INCH_CO2_ONSHORE;1;LL;1.0
12;15;9INCH_CO2_ONSHORE;1;LL;1.0
13;15;9INCH_CO2_ONSHORE;1;LL;1.0
14;13;9INCH_CO2_ONSHORE;1;LL;1.0
15;22;16INCH_CO2_ONSHORE;1;LL;1.0
16;15;12INCH_CO2_ONSHORE;1;LL;1.0
22;40;16INCH_CO2_OFFSHORE;1;LL;1.0
105;39;24INCH_CO2_OFFSHORE;1;LL;1.0
110;1;6INCH_CO2_ONSHORE;1;LL;1.0
124;86;9INCH_CO2_OFFSHORE;1;LL;1.0
