grid_from;grid_to;type;TM;EXSTNG_PIPES
91;92;28INCH_CO2_ONSHORE;1;1
92;93;28INCH_CO2_ONSHORE;1;1
93;94;28INCH_CO2_ONSHORE;1;1
94;95;28INCH_CO2_ONSHORE;1;1
96;97;28INCH_CO2_ONSHORE;1;1
97;98;28INCH_CO2_ONSHORE;1;1
98;99;28INCH_CO2_ONSHORE;1;1
99;100;28INCH_CO2_ONSHORE;1;1
100;101;28INCH_CO2_ONSHORE;1;1
101;102;28INCH_CO2_ONSHORE;1;1
102;103;28INCH_CO2_ONSHORE;1;1
103;104;28INCH_CO2_ONSHORE;1;1
104;105;28INCH_CO2_ONSHORE;1;1
106;107;28INCH_CO2_ONSHORE;1;1
107;108;28INCH_CO2_ONSHORE;1;1
108;109;28INCH_CO2_ONSHORE;1;1
109;110;28INCH_CO2_ONSHORE;1;1
110;111;28INCH_CO2_ONSHORE;1;1
111;112;28INCH_CO2_ONSHORE;1;1
112;113;28INCH_CO2_ONSHORE;1;1
113;114;28INCH_CO2_ONSHORE;1;1
114;115;28INCH_CO2_ONSHORE;1;1
115;116;28INCH_CO2_ONSHORE;1;1
116;117;28INCH_CO2_ONSHORE;1;1
117;118;28INCH_CO2_ONSHORE;1;1
118;119;28INCH_CO2_ONSHORE;1;1
119;120;28INCH_CO2_ONSHORE;1;1
120;121;28INCH_CO2_ONSHORE;1;1
121;122;28INCH_CO2_ONSHORE;1;1
123;124;32INCH_CO2_ONSHORE;1;1
