From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;24.135488014275
3;96;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;40.2258133584
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835585
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.755102740249995
11;96;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.16440068314999
12;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;18.825680649375
13;105;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.400303922375
15;105;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.05291094825
16;13;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;70.400303922375
96;97;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
97;98;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
98;99;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
99;100;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
100;101;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
101;102;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
102;103;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
103;104;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
104;105;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;119.39021404155
105;39;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;234.84342891217497
