From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;3;9INCH_CO2_ONSHORE;1;LL;1.0
3;96;9INCH_CO2_ONSHORE;1;LL;1.0
6;11;12INCH_CO2_ONSHORE;1;LL;1.0
9;6;9INCH_CO2_ONSHORE;1;LL;1.0
11;96;12INCH_CO2_ONSHORE;1;LL;1.0
12;16;9INCH_CO2_ONSHORE;1;LL;1.0
13;105;12INCH_CO2_ONSHORE;1;LL;1.0
15;105;9INCH_CO2_ONSHORE;1;LL;1.0
16;13;12INCH_CO2_ONSHORE;1;LL;1.0
91;92;28INCH_CO2_ONSHORE;1;LL;1.0
92;93;28INCH_CO2_ONSHORE;1;LL;1.0
93;94;28INCH_CO2_ONSHORE;1;LL;1.0
94;95;28INCH_CO2_ONSHORE;1;LL;1.0
96;97;28INCH_CO2_ONSHORE;1;LL;1.0
97;98;28INCH_CO2_ONSHORE;1;LL;1.0
98;99;28INCH_CO2_ONSHORE;1;LL;1.0
99;100;28INCH_CO2_ONSHORE;1;LL;1.0
100;101;28INCH_CO2_ONSHORE;1;LL;1.0
101;102;28INCH_CO2_ONSHORE;1;LL;1.0
102;103;28INCH_CO2_ONSHORE;1;LL;1.0
103;104;28INCH_CO2_ONSHORE;1;LL;1.0
104;105;28INCH_CO2_ONSHORE;1;LL;1.0
105;39;28INCH_CO2_OFFSHORE;1;LL;1.0
106;107;28INCH_CO2_ONSHORE;1;LL;1.0
107;108;28INCH_CO2_ONSHORE;1;LL;1.0
108;109;28INCH_CO2_ONSHORE;1;LL;1.0
109;110;28INCH_CO2_ONSHORE;1;LL;1.0
110;111;28INCH_CO2_ONSHORE;1;LL;1.0
111;112;28INCH_CO2_ONSHORE;1;LL;1.0
112;113;28INCH_CO2_ONSHORE;1;LL;1.0
113;114;28INCH_CO2_ONSHORE;1;LL;1.0
114;115;28INCH_CO2_ONSHORE;1;LL;1.0
115;116;28INCH_CO2_ONSHORE;1;LL;1.0
116;117;28INCH_CO2_ONSHORE;1;LL;1.0
117;118;28INCH_CO2_ONSHORE;1;LL;1.0
118;119;28INCH_CO2_ONSHORE;1;LL;1.0
119;120;28INCH_CO2_ONSHORE;1;LL;1.0
120;121;28INCH_CO2_ONSHORE;1;LL;1.0
121;122;28INCH_CO2_ONSHORE;1;LL;1.0
123;124;32INCH_CO2_ONSHORE;1;LL;1.0
