index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
7;CID62;-3.061635;53.152678;LINESTRING (-3.061634988237042 53.15267800676049, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID6', 'PIPEID15'];62.64996843220235;CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0;670669.9999727999;23379040.26174159;1598930.2779611012;18168455.560497977;32.94306660523783;256531.27498959593;172913.65632204505;573428.2153367437;416009.1413926333;0.7254772790493634;6.264338184472607;39.20740478971044;34.61750399735318;172913.656322045;63.208298935986534;73.82490878706362;119.01697979151348;0.0314593420456125;0.044535376481737096;0.044535376481737096;0.022267688240868548
14;CID73;-6.387712;53.684307;LINESTRING (-6.387711986882004 53.68430700731975, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID13', 'PIPEID16'];249.025075470591;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;2063599.999512;71935508.48357257;4919785.46968564;56230258.10300056;33.10168161196541;789326.9998133399;529571.7769445061;1764394.5083827563;1280028.1271111614;0.7254772790493634;8.620423425605356;41.72210503757077;34.456776793157346;529571.776944506;67.26237815529946;76.17888183072812;122.81194231528265;0.12825731755160907;0.18138050002113754;0.13684512353940043;0.11295793825143732
2;CID55;-1.851891;53.265267;LINESTRING (-1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID1', 'PIPEID15'];140.2659960934138;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;20666320.382640734;33.894199032555164;281902.50002906995;191401.20401913577;630140.8960649807;457152.9026949499;0.7254772790493634;7.486886372331801;41.38108540488697;34.87004553338377;191401.20401913574;66.71260264729709;76.25113093827073;122.92841886383022;0.16282802310120523;0.2304253008394649;0.04904480081832738;0.20590290043030124
10;CID68;-1.875169;53.044003;LINESTRING (-1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID9', 'PIPEID15'];140.173649351203;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;707519.9999328001;24663602.912143365;1686783.5898451859;20030757.204645;34.16428276341547;270626.399974296;184123.03558752278;604935.2601025436;438866.7865002123;0.7254772790493635;7.275906372162452;41.440189135577924;34.94175727224302;184123.03558752275;66.80788684929368;76.38194640782095;123.13931329433714;0.196015900422243;0.27753688554739747;0.04711158470793256;0.2539810931934312
0;CID53;-1.751755;53.337916;LINESTRING (-1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID1', 'PIPEID15'];150.84624241631963;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1105500.0000264;38536879.554804504;2635599.3594463705;31115465.416025378;33.99911521936467;422853.7500100979;287331.16603599343;945211.3440225723;685729.3539880875;0.7254772790493634;7.746512938425185;41.74562815778985;34.89790253227307;287331.1660359934;67.30030100234046;76.64353069006293;123.56102693739996;0.24787195874252815;0.351121431377431;0.07358454583003354;0.31432915846241427
5;CID59;-1.286254;52.377293;LINESTRING (-1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID4', 'PIPEID9', 'PIPEID15'];225.18099864009423;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1326599.9999616002;46244255.46332248;3162719.2311685686;37679299.079669975;34.25596776151894;507424.499985312;333356.3065960544;1134253.612767168;822875.2247422355;0.7254772790493635;8.787522372669162;43.043490134188104;33.73991776694614;333356.30659605435;69.39265187896262;76.78340790113424;123.78653027329142;0.3100992287235831;0.4385576908464584;0.08743625946902739;0.39483956111194474
6;CID61;-2.383373;53.888913;LINESTRING (-2.383372988588973 53.8889130062651, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID5', 'PIPEID15'];148.7606277284209;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;958100.0000112001;33398628.94709009;2284186.111492342;26710194.256081622;33.731353568727684;366473.25000428397;248513.0312247118;819183.1648095762;594298.7734490976;0.7254772790493634;8.438741307455642;42.17009487618333;34.82680734447394;248513.03122471174;67.98460590261361;76.99690222065726;124.13071558323287;0.355041145933949;0.5022926000231028;0.06373490917664443;0.47042514543478064
4;CID58;-0.529654;53.675822;LINESTRING (-0.5296539893112743 53.67582200595663, -1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID3', 'PIPEID0', 'PIPEID1', 'PIPEID15'];241.11364224357177;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;515899.99996559997;17983877.123946812;1229946.3676302554;13533937.765397439;32.08670436293537;197331.74998684195;127266.44653787935;441098.6271705878;320007.03183212766;0.7254772790493635;12.073234106817772;44.15993846975314;33.12254717327143;127266.44653787932;71.19253637831872;77.28248564302457;124.59111948981564;0.3792406398145572;0.5361162061507687;0.033823606127665884;0.5192044030869358
8;CID63;-0.547016;52.640356;LINESTRING (-0.5470159891996003 52.64035600642213, -1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID7', 'PIPEID4', 'PIPEID9', 'PIPEID15'];283.91134626370814;CCS_CALCINED_CLAY_CEMENT;9;1;LL;1.0;1591920.000024;55493106.5584299;3795263.077569358;44125598.126638316;33.571535898774776;608909.40000918;397382.1742503542;1361104.3353805202;987450.269734152;0.7254772790493634;10.255408587837751;43.826944486612526;33.51679473127466;397382.1742503541;70.65569943787015;77.34373921788719;124.68986956755177;0.4539133637951103;0.6408396682009744;0.10472346205020566;0.5884779371758715
11;CID70;-7.572383;54.143487;LINESTRING (-7.572382986409267 54.14348700739539, -6.767676986807034 54.61810500695669, -5.757930354261847 54.82315909661297, -4.015058330981751 54.61267195630433);['PIPEID10', 'PIPEID8', 'PIPEID16'];259.01123792822193;CCS_CALCINED_CLAY_CEMENT;12;1;LL;1.0;862289.9999400001;30058766.049938142;2055767.5001760316;24779906.970236134;34.590382598135335;329825.92497705;226655.21027057242;737264.8482686997;534868.8960607181;0.7254772790493635;8.365802296767614;42.95618489490295;35.292928340192475;226655.21027057237;69.2519025564045;78.24911323509542;126.14947016686486;0.4943610892811524;0.6984274588366723;0.057587790635697966;0.6696335635188233
