index;OID;Longitude;Latitude;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks
2;CID55;-1.851891;53.265267;LINESTRING (-1.851890988743173 53.26526700642933, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID1', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];158.4707609452653;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;17863115.073579468;30.09066401386833;281902.50002906995;180465.73260929363;630140.8960649807;457152.9026949499;0.7254772790493634;7.171184341827433;37.26184835569576;32.87778854657772;169637.78865273597;60.07176609639636;70.13963690227348;113.07576108031397;0.03457070554959614;0.047430214003735066;0.047430214003735066;0.023715107001867533
10;CID68;-1.875169;53.044003;LINESTRING (-1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID9', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];164.58995206005378;CCS_CALCINED_CLAY_CEMENT;11;1;LL;1.0;707519.9999328001;24663602.912143365;1686783.5898451859;17334182.006252736;30.352976795176577;270626.399974296;173614.11053900095;604935.2601025436;438866.7865002123;0.7254772790493635;7.11097896864043;37.463955763817005;32.947436968615946;163197.26390666084;60.39759397350843;70.41139273243294;113.5138728054446;0.06775858287063391;0.09298932512160148;0.04555911111786641;0.07020976956266828
6;CID61;-2.383373;53.888913;LINESTRING (-2.383372988588973 53.8889130062651, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID5', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];168.38277758949027;CCS_CALCINED_CLAY_CEMENT;7;1;LL;1.0;958100.0000112001;33398628.94709009;2284186.111492342;23043842.305756036;29.904663296018438;366473.25000428397;234253.04745905832;819183.1648095762;594298.7734490976;0.7254772790493634;7.785106107184851;37.689769403203286;32.82840225121074;220197.86461151476;60.761639900513956;70.51817165441403;113.68601666594351;0.11270050008099983;0.1546235363213148;0.06163421119971331;0.12380643072145814
0;CID53;-1.751755;53.337916;LINESTRING (-1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID1', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];169.05100726817108;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1105500.0000264;38536879.554804504;2635599.3594463705;26911073.73271595;30.195956754227602;422853.7500100979;270928.7821161295;945211.3440225723;685729.3539880875;0.7254772790493634;7.430810907920927;37.62676766214853;32.905745526720004;254673.0551891617;60.66007151302606;70.53251318886853;113.70913740045432;0.16455655840128497;0.22578523054016372;0.07116169421884894;0.19020438343073925
5;CID59;-1.286254;52.377293;LINESTRING (-1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID4', 'PIPEID9', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];249.59730134894497;CCS_CALCINED_CLAY_CEMENT;6;1;LL;1.0;1326599.9999616002;46244255.46332248;3162719.2311685686;33680616.111721404;31.24173365322381;507424.499985312;315392.97571062914;1134253.612767168;822875.2247422355;0.7254772790493635;8.62259496914714;39.86432862237095;31.921799150611957;296469.3971679913;64.26736005507075;71.78612777298291;115.73015475185035;0.22678382838233987;0.3104877567486809;0.08470252620851718;0.2681364936444223
7;CID62;-3.061635;53.152678;LINESTRING (-3.061634988237042 53.15267800676049, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID6', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];67.17108519020883;CCS_CALCINED_CLAY_CEMENT;8;1;LL;1.0;670669.9999727999;23379040.26174159;1598930.2779611012;18147668.659736343;32.91207237444999;256531.27498959593;167965.70927732598;573428.2153367437;416009.1413926333;0.7254772790493634;5.990581104468011;38.902653478918005;33.62691956207733;157887.76672068637;62.716993478330814;72.52957304099533;116.9287015823564;0.25824317042795236;0.35391541696068846;0.04342766021200756;0.3322015868546847
12;CID71;-7.143371;53.432118;LINESTRING (-7.14337098652492 53.43211800764301, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID11', 'PIPEID28'];292.9624637457238;CCS_CALCINED_CLAY_CEMENT;13;1;LL;1.0;515899.99996559997;17983877.123946812;1229946.3676302554;14219217.4994061;33.415023289189214;197331.74998684195;128938.11997077183;441098.6271705878;320007.03183212766;0.7254772790493635;8.363571067304083;41.7785943564933;33.55761928886479;121201.83277252548;67.35344752794211;75.3362136453581;121.45343305280036;0.2824426643085606;0.3873023691879919;0.033386952227303424;0.3706088930743402
8;CID63;-0.547016;52.640356;LINESTRING (-0.5470159891996003 52.64035600642213, -1.286253988876013 52.37729300671038, -1.875168988710858 53.04400300653617, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID7', 'PIPEID4', 'PIPEID9', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];308.32764897255896;CCS_CALCINED_CLAY_CEMENT;9;1;LL;1.0;1591920.000024;55493106.5584299;3795263.077569358;40977382.188184775;31.59391394641154;608909.40000918;406642.8409569095;1361104.3353805202;987450.269734152;0.7254772790493634;10.090481184315731;41.68439513072727;34.29787623213437;382244.27049949486;67.20158405078281;75.98227136286164;122.4949763418013;0.3571153882891137;0.49094925810930934;0.10364688892131746;0.4391258136486506
4;CID58;-0.529654;53.675822;LINESTRING (-0.5296539893112743 53.67582200595663, -0.7653118282109082 53.59902350604057, -0.7314227822182972 53.53666765606081, -1.751754988790997 53.33791600637368, -1.851890988743173 53.26526700642933, -2.706477081400393 53.31708700660062, -2.822446165350375 53.29389319663833, -2.941983529301627 53.29835354666407, -3.024946027257104 53.19933378672991, -3.063305032241169 53.19844171673934, -3.058844683239543 53.16543513675383, -3.069549521238497 53.19754964674124, -3.181058256192107 53.19487343676877, -3.2952432001585 53.32600770673393, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID3', 'PIPEID32', 'PIPEID33', 'PIPEID0', 'PIPEID1', 'PIPEID19', 'PIPEID20', 'PIPEID21', 'PIPEID22', 'PIPEID23', 'PIPEID24', 'PIPEID25', 'PIPEID26', 'PIPEID27', 'PIPEID28'];266.41182579957945;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;515899.99996559997;17983877.123946812;1229946.3676302554;12614459.556178052;30.304424445740768;197331.74998684195;130466.87495623449;441098.6271705878;320007.03183212766;0.7254772790493635;11.798730630967375;42.10315507670814;33.95549524517421;122638.86245886039;67.87668876607685;76.05865032188235;122.61811083897331;0.3813148821697219;0.5244449525794276;0.03349569447011824;0.5076971053443684
14;CID73;-6.387712;53.684307;LINESTRING (-6.387711986882004 53.68430700731975, -3.306840108155073 53.33938875673036, -3.495559345107598 53.64289201663232);['PIPEID13', 'PIPEID28'];245.2990126926408;CCS_CALCINED_CLAY_CEMENT;15;1;LL;1.0;2063599.999512;71935508.48357257;4919785.46968564;56208481.034282304;33.09112866143071;789326.9998133399;514430.74063960154;1764394.5083827563;1280028.1271111614;0.7254772790493634;9.749527982407667;42.84065664383837;33.47161985865201;483564.8962012253;69.06565344688023;76.31227650249039;123.02699481198427;0.4781128576757185;0.6578987445164884;0.13345379193706086;0.591171848547958
