From grid;To grid;Distribution type;Distribution mode;Minor time;Major Time;Scenario;rate
1;3;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;35.39871575324999
3;96;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;51.48904109737498
4;7;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;16.090325344124995
5;109;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
6;11;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;63.71768835584999
7;96;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;37.00774828957499
8;101;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;14.642196061077996
9;6;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.75510274024999
10;12;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;15.446712327300002
11;96;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;79.16440068314998
12;16;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;34.272392976675
13;105;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;109.98250426394998
14;13;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;12.872260275299997
15;105;9INCH_CO2_ONSHORE;MODE_1;1;1;LL;45.05291094824999
16;13;12INCH_CO2_ONSHORE;MODE_1;1;1;LL;85.847016249675
96;97;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.66119007009996
97;98;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.66119007009996
98;99;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.66119007009996
99;100;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.66119007009996
100;101;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;167.66119007009996
101;102;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;182.30338613114995
102;103;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;182.30338613114995
103;104;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;182.30338613114995
104;105;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;182.30338613114995
105;39;28INCH_CO2_OFFSHORE;MODE_1;1;1;LL;617.245692678701
109;110;28INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
110;1;6INCH_CO2_ONSHORE;MODE_1;1;1;LL;11.263227738974996
