From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;3;9INCH_CO2_ONSHORE;1;LL;1.0
3;96;9INCH_CO2_ONSHORE;1;LL;1.0
4;7;6INCH_CO2_ONSHORE;1;LL;1.0
5;109;6INCH_CO2_ONSHORE;1;LL;1.0
6;11;12INCH_CO2_ONSHORE;1;LL;1.0
7;96;9INCH_CO2_ONSHORE;1;LL;1.0
8;101;6INCH_CO2_ONSHORE;1;LL;1.0
9;6;9INCH_CO2_ONSHORE;1;LL;1.0
10;12;6INCH_CO2_ONSHORE;1;LL;1.0
11;96;12INCH_CO2_ONSHORE;1;LL;1.0
12;16;9INCH_CO2_ONSHORE;1;LL;1.0
13;105;12INCH_CO2_ONSHORE;1;LL;1.0
14;13;6INCH_CO2_ONSHORE;1;LL;1.0
15;105;9INCH_CO2_ONSHORE;1;LL;1.0
16;13;12INCH_CO2_ONSHORE;1;LL;1.0
105;39;28INCH_CO2_OFFSHORE;1;LL;1.0
110;1;6INCH_CO2_ONSHORE;1;LL;1.0
