index;OID;Longitude;Latitude;latitude;longitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks;diff_to_basecase;annual difference;geometry
0;CID75;-6.483272;38.3792;38.3792;-6.483272;AG Cementos Balboa SA;LINESTRING (-6.483271984143427 38.37920001657644, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID1'];201.76966018178015;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;32957682.3328348;31.20512209412957;497249.999986536;326971.01274637185;1111510.399969904;806375.5406052356;0.7254772790493634;12.45911403930486;43.66423613343444;33.77079131822199;307352.75198158954;70.39338882888636;77.43502745165642;124.8370400829269;0.7254772790493634;1.0;1.0;0.5;4.9015633063888515;6.4;POINT (-6.483272 38.3792)
4;CID81;-5.865094;37.359736;37.359736;-5.865094;Cementos Portland Valderrivas SA;LINESTRING (-5.865093984204829 37.35973601700449, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID4', 'PIPEID6'];149.85615465615166;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;1869999.999696;65186761.42383382;4458227.771366616;44096531.646079175;29.434091730144512;715274.99988372;463786.0885060728;1598864.9597400778;1159940.2005596017;0.7254772790493634;9.183282811983036;38.61737454212755;33.30055319403238;435958.9231957083;62.25708044880216;71.91792773615992;115.9426363357993;0.1860351203502205;0.256897238330774;0.256897238330774;0.128448619165387;2.0263166774042816;3.8;POINT (-5.865094 37.359736)
0;CID77;-4.15978;42.874825;42.874825;-4.15978;Cementos Portland Valderrivas SA;LINESTRING (-4.159779986155612 42.87482501277532, -4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID0', 'PIPEID3', 'PIPEID5'];493.5307908360653;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;50245345.27549095;29.75210046306698;804167.9999999999;510416.5413114173;1797568.8192000005;1304095.3358571937;0.7254772790493635;11.77107605626952;41.5231765193365;32.59753268286019;479791.54883273214;66.94167513211072;74.1207092021967;119.4938550441705;0.3951903273490905;0.5440554974900133;0.2871582591592392;0.4004763679103936;3.6645900784982786;7.7;POINT (-4.15978 42.874825)
3;CID80;-4.46587;41.941676;41.941676;-4.46587;Cementos Portland Valderrivas SA;LINESTRING (-4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID3', 'PIPEID5'];385.8811914318578;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;1450000.0000416;50545884.53616938;3456914.582736875;37050040.35469465;31.40481072851514;554625.0000159119;356767.0912213783;1239761.6000355685;899418.8722636895;0.7254772790493635;9.856149185024448;41.26095991353959;33.03635484585491;335361.0657480956;66.51894208731758;74.2973147593945;119.77857005943324;0.5394421586642837;0.7428221684529256;0.1987666709629123;0.6434388329714694;-1.2042631377696154;-1.7;POINT (-4.46587 41.941676)
2;CID79;-2.190187;42.882983;42.882983;-2.190187;Cementos Portland Valderrivas SA;LINESTRING (-2.190186987019881 42.882983012103, -4.159779986155612 42.87482501277532, -4.465869985833035 41.94167601347046, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID2', 'PIPEID0', 'PIPEID3', 'PIPEID5'];656.240343606105;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;814999.9999968;28410273.031472027;1943024.403337008;19857275.31655469;30.217813750226604;311737.49999877595;199348.8199568749;696831.519997264;505535.4350834472;0.7254772790493634;16.7077862171652;46.92559996739181;32.84213617117399;187387.8907594624;75.65120329687923;79.7677361385658;128.59772122985748;0.6205216362629374;0.8543643619000547;0.1115421934471291;0.7985932651764902;5.494222031906432;4.5;POINT (-2.190187 42.882983)
1;CID78;-3.474441;40.244961;40.244961;-3.474441;Cementos Portland Valderrivas SA;LINESTRING (-3.474440985930134 40.24496101419036, -8.663498236721621 41.13424080560878, -8.922661825589879 41.0959813857407);['PIPEID1', 'PIPEID5'];474.8591665623428;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1055000.0000496;36776488.40457647;2515203.368864989;30351697.0943834;34.62243989125768;403537.5000189719;266291.6337134871;902033.4400424084;654404.7656935035;0.7254772790493634;16.143866194369338;50.766306085627015;33.89068909816058;250314.13569067785;81.84300562985065;84.65699518378759;136.47995033845078;0.7254772790493633;1.0;0.1456356380999452;0.9271821809500274;2.9570329731130016;3.1;POINT (-3.474441 40.244961)
0;CID82;-0.77638;39.436556;39.436556;-0.77638;CEMEX SAB de CV;LINESTRING (-0.7763799869527166 39.43655601373965, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID0', 'PIPEID6'];654.6639913231612;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1299999.9999648002;45316999.92645228;3099302.7291774647;32508830.12502507;30.859851165035824;497249.999986536;337200.84666256723;1111510.399969904;806375.5406052356;0.7254772790493634;12.919093495072708;43.778944660108536;34.82736689506642;316968.7958628133;70.57831641803467;78.60631155517495;126.72532817930195;0.1249430955907381;0.1726017091011121;0.1726017091011121;0.086300854550556;-0.868987709471682;-1.1;POINT (-0.77638 39.436556)
2;CID84;-0.542867;38.378014;38.378014;-0.542867;CEMEX SAB de CV;LINESTRING (-0.5428669868382007 38.37801401431663, -0.7763799869527166 39.43655601373965, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID2', 'PIPEID0', 'PIPEID6'];776.1503154167034;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;1529999.9999423998;53334622.9897993;3647640.9043010734;37173760.10815578;30.14963399549672;585224.9999779678;391770.6933384198;1308162.2399507514;949041.9823945916;0.7254772790493634;16.078479801681883;46.22811379717861;34.38078997714552;368264.4517381147;74.52674952119546;80.60890377432412;129.9538113781716;0.2719915080921293;0.3750056689199488;0.2024039598188367;0.2738036890105305;0.13120383248426037;0.2;POINT (-0.542867 38.378014)
3;CID85;0.54329;40.576824;40.576824;0.54329;CEMEX SAB de CV;LINESTRING (0.5432900122593918 40.57682401260054, -0.7763799869527166 39.43655601373965, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID3', 'PIPEID0', 'PIPEID6'];827.4726876988378;CCS_CALCINED_CLAY_CEMENT;4;1;LL;1.0;2102400.0;73288046.65227154;5012287.736922411;54254870.37380849;31.659218565386965;804167.9999999999;548654.9514176265;1797568.8192000005;1304095.3358571937;0.7254772790493635;16.189540774408584;47.84875933979555;35.039612283131724;515735.654332569;77.1394765934522;82.88837162292728;133.62866019722148;0.4740533266898834;0.6546224604813993;0.2796167915614504;0.514814064700674;4.317055328634936;9.1;POINT (0.5432900000000001 40.576824)
4;CID86;-3.74396;39.934332;39.934332;-3.74396;CEMEX SAB de CV;LINESTRING (-3.743959985744326 39.93433201448801, -6.836272115693578 37.13771840755857, -7.324579587375506 36.77472611801254);['PIPEID4', 'PIPEID6'];474.21940401225874;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;935999.9999256;32628239.94533559;2231497.9648908214;27904396.88020244;35.665448592139086;358019.999971542;245981.5100779094;800287.4879363877;580590.3892053408;0.7254772790493634;12.964278780721653;48.62972737286074;35.28596114701568;231222.61947323487;78.39851582744888;83.91568851987643;135.28485126298142;0.5640123555105001;0.7793574221664299;0.1247349616850306;0.7169899413239146;0.41531168856326417;0.4;POINT (-3.74396 39.934332)
