index;OID;Longitude;Latitude;parent_name;route_CO2;PIP_IDs;dist_km;process_tech;grid;Major Time;Scenario;number;capacity;CAPEX_tech;OPEX_fixed_tech;OPEX_var_tech;LCOP_tech;CO2_stored;CO2_emitted;CO2_generated;CO2_avoided;Decarb_rate;LCOP_transport_strg;LCOP_total;LCOP_nets;CO2_offset;LCOP_CO2_avoided;LCOP_total_w_nets;LCOP_CO2_avoided_w_NETs;Cummulative_CO2_avoided;Cummulative_CO2_avoided_w_nets;Width_CO2_avoided_w_nets;xticks;diff_to_basecase;annual difference;geometry
0;CID53;-1.751755;53.337916;Breedon Group PLC;LINESTRING (-1.751754988790997 53.33791600637368, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID1'];148.03692105986852;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;1105500.0000264;38536879.5548045;2635599.3594463705;31115465.416025378;33.99911521936467;422853.7500100979;287331.16603599343;945211.3440225724;685729.3539880875;0.7254772790493634;12.166732942612985;46.16584816197765;34.89790253227308;270091.2960738349;74.4263678482862;81.06375069425073;130.68709378334572;0.4946435993660917;0.6824833825806257;0.6824833825806257;0.3412416912903128;10.197628632238548;11.3;POINT (-1.751755 53.337916)
1;CID71;-7.143371;53.432118;Breedon Group PLC;;;;CALCINED_CLAY_BIOMASS_CEMENT;2;1;LL;1.0;515899.9999656;4686928.017364906;591692.810514325;20960109.62143976;42.67923464473637;0.0;166965.9388886456;441098.6271705878;287735.2836066822;0.6523150739605572;0.0;42.67923464473637;43.45479376233453;156947.98255532747;76.5224788415208;86.1340284070709;154.43550994248972;0.7021983956134534;1.0;0.3175166174193743;0.8412416912903129;7.7952377806687;4.0;POINT (-7.143371 53.432118)
0;CID58;-0.529654;53.675822;CEMEX SAB de CV;LINESTRING (-0.5296539893112743 53.67582200595663, 0.04476576846244464 53.68945314583021, 1.120748645035553 53.8234902355545);['PIPEID0', 'PIPEID2'];111.83542975352984;CCS_CALCINED_CLAY_CEMENT;1;1;LL;1.0;515899.9999656;17983877.123946812;1229946.3676302554;13533937.76539744;32.08670436293537;197331.74998684195;127266.44653787935;441098.6271705878;320007.03183212766;0.7254772790493635;11.329469697261908;43.41617406019728;33.122547173271435;119630.45974560655;69.99347504311163;76.53872123346872;123.39205815460858;0.203133638128303;0.2789812285990378;0.2789812285990378;0.1394906142995189;0.1876605930965809;0.1;POINT (-0.529654 53.675822)
1;CID59;-1.286254;52.377293;CEMEX SAB de CV;LINESTRING (-1.286253988876013 52.37729300671038, -0.5296539893112743 53.67582200595663, 0.04476576846244464 53.68945314583021, 1.120748645035553 53.8234902355545);['PIPEID1', 'PIPEID0', 'PIPEID2'];266.6103523575765;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;1326599.9999616002;46244255.46332248;3162719.2311685686;37679299.079669975;34.25596776151894;507424.499985312;333356.3065960544;1134253.612767168;822875.2247422355;0.7254772790493635;15.971419287556008;50.22738704907495;33.73991776694615;313354.92820029106;80.97418618751874;83.9673048160211;135.36806458184756;0.7254772790493635;1.0;0.7210187714009622;0.6394906142995189;11.998342796876827;15.9;POINT (-1.286254 52.377293)
1;CID55;-1.851891;53.265267;CRH PLC;LINESTRING (-1.851890988743173 53.26526700642933, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID0', 'PIPEID4'];140.2659960934138;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;20666320.38264073;33.894199032555164;281902.50002906995;191401.20401913577;630140.8960649807;457152.9026949499;0.7254772790493634;10.187753754536946;44.081952787092106;34.87004553338377;179917.1317779876;71.0668115982981;78.95199832047587;127.28262781483124;0.1189307015043587;0.1648238273793198;0.1648238273793198;0.0824119136896599;8.478752545058754;6.2;POINT (-1.851891 53.265267)
4;CID73;-6.387712;53.684307;CRH PLC;LINESTRING (-6.387711986882004 53.68430700731975, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID3', 'PIPEID4'];287.1776073317486;CCS_CALCINED_CLAY_CEMENT;5;1;LL;1.0;2063599.999512;71935508.48357257;4919785.46968564;56230258.10300056;33.10168161196541;789326.9998133399;529571.7769445061;1764394.5083827565;1280028.1271111614;0.7254772790493634;11.851026225750305;44.952707837715714;34.456776793157346;497797.47032783576;72.47060115884258;79.40948463087307;128.0201653188258;0.4519366656034743;0.6247858465084258;0.4599620191291059;0.3948048369438728;4.240927844072047;8.8;POINT (-6.387712 53.684307)
0;CID54;-3.392125;51.397546;CRH PLC;;;;CALCINED_CLAY_CEMENT;1;1;LL;1.0;368499.9999504;3347805.726461836;422637.7217672409;3317280.214849075;11.053110741996376;0.0;200736.9760701182;315070.4479575917;121866.48847000084;0.3867912375152492;0.0;11.053110741996376;73.14172900148476;188692.7575059111;33.42240643029667;84.19483974348114;254.58843387396183;0.4836408653978294;0.7051342552860167;0.0803484087775908;0.6649600508972213;5.4672502273833885;2.0;POINT (-3.392125 51.397546)
3;CID72;-8.688373;52.641364;CRH PLC;;;;CALCINED_CLAY_BIOMASS_CEMENT;4;1;LL;1.0;589600.0000608;5356489.163612284;676220.3549883369;23169827.28013009;41.34852955690118;0.0;190083.2736851112;504112.71685198456;328840.3241777597;0.6523150739605571;0.0;41.34852955690118;43.28742628933387;178678.27726400452;74.13656792311282;84.63595584623505;151.74951459149852;0.5691903833092985;0.836440318715978;0.1313060634299613;0.7707872870009973;0.9883261738770841;0.6;POINT (-8.688373 52.641364)
2;CID56;-2.47192;55.979125;CRH PLC;LINESTRING (-2.471919988719641 55.97912500537524, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID2', 'PIPEID4'];373.2350647752584;CCS_CALCINED_CLAY_CEMENT;3;1;LL;1.0;737000.000076;25691253.03857212;1757066.239770144;20479454.82137532;33.64065010277749;281902.50002906995;186203.200165404;630140.8960649807;457152.9026949499;0.7254772790493634;18.004274872300147;51.64492497507764;33.92305759779999;175031.00815547977;83.25947289446732;85.56798257287764;137.9486005468836;0.6881210848136573;1.0;0.1635596812840219;0.9182201593579892;4.646073258020664;3.4;POINT (-2.47192 55.979125)
1;CID62;-3.061635;53.152678;HeidelbergCement AG;LINESTRING (-3.061634988237042 53.15267800676049, -3.062863108240607 53.19136044674255, -3.495559345107598 53.64289201663232);['PIPEID1', 'PIPEID3'];62.64996843220235;CCS_CALCINED_CLAY_CEMENT;2;1;LL;1.0;670669.9999727999;23379040.26174159;1598930.2779611012;18168455.560497977;32.94306660523783;256531.27498959596;172913.65632204505;573428.2153367437;416009.1413926333;0.7254772790493634;8.469345242389478;41.41241184762731;34.61750399735318;162538.8369427101;66.76310563692245;76.0299158449805;122.5717864924494;0.1510719276673927;0.2090554045806341;0.2090554045806341;0.104527702290317;3.2086788813413563;2.2;POINT (-3.061635 53.152678)
