From grid;To grid;Distribution type;Major time;Scenario;No. of units
1;6;6INCH_CO2_ONSHORE;1;LL;4.4275694222051243e-13
1;7;6INCH_CO2_ONSHORE;1;LL;1.0000000000001223
2;5;6INCH_CO2_ONSHORE;1;LL;1.0000000000001223
3;5;6INCH_CO2_ONSHORE;1;LL;1.0000000000003175
4;5;9INCH_CO2_ONSHORE;1;LL;4.4275694222051243e-13
4;7;6INCH_CO2_ONSHORE;1;LL;0.9999999999995572
5;3;6INCH_CO2_ONSHORE;1;LL;1.1901590823981678e-13
5;9;16INCH_CO2_ONSHORE;1;LL;1.0
6;1;9INCH_CO2_ONSHORE;1;LL;4.4275694222051243e-13
6;4;9INCH_CO2_ONSHORE;1;LL;4.4275694222051243e-13
6;7;9INCH_CO2_ONSHORE;1;LL;0.9999999999991144
7;4;6INCH_CO2_ONSHORE;1;LL;4.4275694222051243e-13
7;5;12INCH_CO2_ONSHORE;1;LL;1.0
8;2;6INCH_CO2_ONSHORE;1;LL;1.2223555501124468e-13
8;5;6INCH_CO2_ONSHORE;1;LL;1.0000000000004428
9;24;24INCH_CO2_OFFSHORE;1;LL;1.0
