process_tech;grid;Minor Time;Major Time;Scenario;rate
NET;9;1;1;LL;109.79563887010184
LARGE_CO2_COMPRESSOR;9;1;1;LL;311.3986015596502
INCUMBENT_CEMENT;1;1;1;LL;57.21004566
INCUMBENT_CEMENT;2;1;1;LL;57.21004566
INCUMBENT_CEMENT;3;1;1;LL;37.85958904
INCUMBENT_CEMENT;4;1;1;LL;57.21004566
INCUMBENT_CEMENT;5;1;1;LL;57.21004566
INCUMBENT_CEMENT;6;1;1;LL;79.92579909
INCUMBENT_CEMENT;7;1;1;LL;57.21004566
INCUMBENT_CEMENT;8;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;37.85958904
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;6;1;1;LL;79.92579909
CCS_CALCINED_CLAY_CEMENT;7;1;1;LL;57.21004566
CCS_CALCINED_CLAY_CEMENT;8;1;1;LL;57.21004566
