OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;parent_name;Lat;Lon;lat/lon correct?;parent correct?
CID16;12.029824;49.213555;1;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.213555;12.029824;correct;0.0
CID17;8.03084;51.857225;2;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.857225;8.03084;correct;0.0
CID18;9.876779;52.374756;3;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;52.374756;9.876779;correct;0.0
CID19;8.685598;49.357624;4;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.357624;8.685598;correct;0.0
CID20;8.746013;51.698479;5;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.698479;8.746013;correct;0.0
CID21;9.735574;48.368982;6;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;48.368982;9.735574;correct;0.0
CID22;9.618221;49.808084;7;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;49.808084;9.618221;correct;0.0
CID23;8.5105;51.618256;8;CEMENT;11;0;0;1;1;0;1;1;0;HeidelbergCement AG;51.618256;8.5105;correct;0.0
TID4;8.155554;53.556378;9;TERMINAL;30;0;1;1;1;0;1;1;0;;;;;
TID8;4.16044289;51.98936213;10;TERMINAL;30;0;1;1;1;0;1;1;0;;;;;
SID97;6.674735937;55.07066178;11;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID98;7.213348192;55.04193579;12;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID99;7.47906357;54.91985035;13;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID100;7.292344656;54.7905834;14;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID101;6.782458388;54.61104599;15;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID102;6.940451316;54.51768653;16;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID103;6.523924506;54.30224163;17;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID104;6.782458388;54.29506013;18;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID105;7.170259211;54.19451918;19;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID106;7.421611597;54.12270421;20;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID107;7.881227387;53.99343727;21;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID108;7.471882074;53.78517386;22;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID109;7.759141943;53.7061774;23;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID110;8.355206171;53.59845495;24;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID111;8.484473112;53.74208488;25;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID112;8.750188491;54.00780026;26;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID113;8.391113655;54.28069714;27;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID114;8.269028211;54.42432707;28;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID115;8.455747126;54.7977649;29;STORAGE;20;500;0;0;1;0;1;1;0;;;;;
SID116;4.126057327;52.99269476;30;STORAGE;20;168;0;0;1;0;1;1;0;;;;;
SID117;3.825024691;52.56102532;31;STORAGE;20;360;0;0;1;0;1;1;0;;;;;
SID118;4.455489268;54.37006107;32;STORAGE;20;650;0;0;1;0;1;1;0;;;;;
SID119;3.870463579;53.44140379;33;STORAGE;20;60;0;0;1;0;1;1;0;;;;;
SID120;4.202735451;55.1169628;34;STORAGE;20;190;0;0;1;0;1;1;0;;;;;
SID121;3.975541009;53.24260865;35;STORAGE;20;165;0;0;1;0;1;1;0;;;;;
SID122;3.271238238;53.75379614;36;STORAGE;20;140;0;0;1;0;1;1;0;;;;;
SID123;3.350756293;53.50956212;37;STORAGE;20;195;0;0;1;0;1;1;0;;;;;
SID124;4.180016007;53.46412323;38;STORAGE;20;175;0;0;1;0;1;1;0;;;;;
