OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID27;1;OLIVINE;0.0164080626283185;0.0157974583099999
CID28;2;OLIVINE;0.0077622843230088;0.05176256593
CID29;3;OLIVINE;0.0118493675132743;0.06089545984
CID30;4;OLIVINE;0.0145020830353982;0.06455470255
CID27;1;BIOMASS;0.0397160636902654;0.2691412607
CID28;2;BIOMASS;0.0172966544601769;0.1861329917
CID29;3;BIOMASS;0.0213837447256637;0.1952659014
CID30;4;BIOMASS;0.0240364531681415;0.1989251283
CID27;1;CLAY;0.0088321483690265;0.008421148704
CID28;2;CLAY;0.0138824828230088;0.01326673549
CID29;3;CLAY;0.0076977326008849;0.007842360508
CID30;4;CLAY;0.006356010619469;0.01420298243
