process_tech;grid;Minor Time;Major Time;Scenario;rate
NET;5;1;1;LL;71.16474120574564
LARGE_CO2_COMPRESSOR;5;1;1;LL;202.41755462596103
INCUMBENT_CEMENT;1;1;1;LL;95.0696347
INCUMBENT_CEMENT;2;1;1;LL;96.331621
INCUMBENT_CEMENT;3;1;1;LL;53.84474886
INCUMBENT_CEMENT;4;1;1;LL;55.10673516
CALCINED_CLAY_CEMENT;3;1;1;LL;1.5829659247987848e-11
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;95.0696347
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;96.331621
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;53.84474885998417
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;55.10673515999999
