OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;parent_name;Lat;Lon
CID45;10.998115;48.884764;1;CEMENT;11;0;0;1;1;0;1;1;0;Solnhofer Portland-Zementwerke GmbH & Co KG;48.884764;10.998115
TID4;8.155554;53.556378;2;TERMINAL;30;0;1;1;1;0;1;1;0;;;
TID8;4.16044289;51.98936213;3;TERMINAL;30;0;1;1;1;0;1;1;0;;;
SID97;6.674735937;55.07066178;4;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID98;7.213348192;55.04193579;5;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID99;7.47906357;54.91985035;6;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID100;7.292344656;54.7905834;7;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID101;6.782458388;54.61104599;8;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID102;6.940451316;54.51768653;9;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID103;6.523924506;54.30224163;10;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID104;6.782458388;54.29506013;11;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID105;7.170259211;54.19451918;12;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID106;7.421611597;54.12270421;13;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID107;7.881227387;53.99343727;14;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID108;7.471882074;53.78517386;15;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID109;7.759141943;53.7061774;16;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID110;8.355206171;53.59845495;17;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID111;8.484473112;53.74208488;18;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID112;8.750188491;54.00780026;19;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID113;8.391113655;54.28069714;20;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID114;8.269028211;54.42432707;21;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID115;8.455747126;54.7977649;22;STORAGE;20;500;0;0;1;0;1;1;0;;;
SID116;4.126057327;52.99269476;23;STORAGE;20;168;0;0;1;0;1;1;0;;;
SID117;3.825024691;52.56102532;24;STORAGE;20;360;0;0;1;0;1;1;0;;;
SID118;4.455489268;54.37006107;25;STORAGE;20;650;0;0;1;0;1;1;0;;;
SID119;3.870463579;53.44140379;26;STORAGE;20;60;0;0;1;0;1;1;0;;;
SID120;4.202735451;55.1169628;27;STORAGE;20;190;0;0;1;0;1;1;0;;;
SID121;3.975541009;53.24260865;28;STORAGE;20;165;0;0;1;0;1;1;0;;;
SID122;3.271238238;53.75379614;29;STORAGE;20;140;0;0;1;0;1;1;0;;;
SID123;3.350756293;53.50956212;30;STORAGE;20;195;0;0;1;0;1;1;0;;;
SID124;4.180016007;53.46412323;31;STORAGE;20;175;0;0;1;0;1;1;0;;;
