process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;6;1;1;LL;23.2
NET;6;1;1;LL;18.86178861788618
NET;9;1;1;LL;92.02152443548016
LARGE_CO2_COMPRESSOR;9;1;1;LL;277.9845914907655
INCUMBENT_CEMENT;1;1;1;LL;74.20091324
INCUMBENT_CEMENT;2;1;1;LL;95.89041096
INCUMBENT_CEMENT;3;1;1;LL;87.32876712
INCUMBENT_CEMENT;4;1;1;LL;120.0
INCUMBENT_CEMENT;5;1;1;LL;53.42465753
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;74.20091324
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;95.89041096
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;87.32876712
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;120.0
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;53.424657530000005
