OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID82;1;OLIVINE;0.0097657859160312;0.0747945240827513
CID83;2;OLIVINE;0.0146670469405042;0.0469816826185636
CID84;3;OLIVINE;0.0079631428880661;0.0652551925074955
CID85;4;OLIVINE;0.0117947062700135;0.0793282987827513
CID86;5;OLIVINE;0.0219634463618004;0.0845912224248556
CID82;1;BIOMASS;0.0186396737998365;0.1985764560287203
CID83;2;BIOMASS;0.0254711124206957;0.1932562153674204
CID84;3;BIOMASS;0.0168370307718714;0.1890371244534645
CID85;4;BIOMASS;0.0206685941538188;0.2031102307287203
CID86;5;BIOMASS;0.0308373342456057;0.2083731543708246
CID82;1;CLAY;0.0079537575974471;0.0707454109027513
CID83;2;CLAY;0.0125431283564334;0.0422356272485636
CID84;3;CLAY;0.006151114569482;0.0612060793274955
CID85;4;CLAY;0.0099826779514294;0.0752791856027513
CID86;5;CLAY;0.0201511206980836;0.0805414448048556
