process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;9;1;1;LL;57.1
NET;6;1;1;LL;89.31551002227758
NET;9;1;1;LL;13.230732826422768
LARGE_CO2_COMPRESSOR;6;1;1;LL;228.24095404165135
INCUMBENT_CEMENT;1;1;1;LL;120.0
INCUMBENT_CEMENT;2;1;1;LL;60.21689498
INCUMBENT_CEMENT;3;1;1;LL;46.51826484
INCUMBENT_CEMENT;4;1;1;LL;82.76255708
INCUMBENT_CEMENT;5;1;1;LL;106.7351598
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;120.0
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;60.21689498
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;46.51826484
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;82.76255708
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;106.7351598
