process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;4;1;1;LL;57.1
SMALL_CO2_COMPRESSOR;6;1;1;LL;40.75090395901079
SMALL_CO2_COMPRESSOR;8;1;1;LL;57.1
NET;4;1;1;LL;19.79814010349594
NET;6;1;1;LL;12.18611191787458
NET;8;1;1;LL;23.348089988374
INCUMBENT_CEMENT;1;1;1;LL;67.35159817
INCUMBENT_CEMENT;2;1;1;LL;74.20091324
INCUMBENT_CEMENT;3;1;1;LL;85.61643836
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;67.35159817
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;74.20091324
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;85.61643836000002
