process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;6;1;1;LL;29.87737461886253
NET;6;1;1;LL;24.290548470619854
NET;9;1;1;LL;90.34692058508136
LARGE_CO2_COMPRESSOR;9;1;1;LL;285.40000000000003
INCUMBENT_CEMENT;1;1;1;LL;79.33789954
INCUMBENT_CEMENT;2;1;1;LL;120.0
INCUMBENT_CEMENT;3;1;1;LL;74.20091324
INCUMBENT_CEMENT;4;1;1;LL;131.8493151
INCUMBENT_CEMENT;5;1;1;LL;50.2283105
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;79.33789954
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;120.0
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;74.20091324
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;131.8493151
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;50.2283105
