process_tech;grid;Minor Time;Major Time;Scenario;rate
SMALL_CO2_COMPRESSOR;8;1;1;LL;49.777397259765
NET;5;1;1;LL;64.59382287162703
LARGE_CO2_COMPRESSOR;5;1;1;LL;130.5377308970612
INCUMBENT_CEMENT;1;1;1;LL;55.93607306
INCUMBENT_CEMENT;2;1;1;LL;74.20091324
INCUMBENT_CEMENT;3;1;1;LL;78.19634703
INCUMBENT_CEMENT;4;1;1;LL;55.3652968
CCS_CALCINED_CLAY_CEMENT;1;1;1;LL;55.93607306
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;74.20091324
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;78.19634702999998
CCS_CALCINED_CLAY_CEMENT;4;1;1;LL;55.3652968
