OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID98;1;OLIVINE;0.0119443844148977;0.0622028770748556
CID99;2;OLIVINE;0.0068187927778387;0.0436814569292517
CID100;3;OLIVINE;0.0054269557522123;0.01212693965
CID101;4;OLIVINE;0.0074720884955752;0.01669694215
CID98;1;BIOMASS;0.0208182722987031;0.1859848090208246
CID99;2;BIOMASS;0.015692680661644;0.1674633888752207
CID100;3;BIOMASS;0.0184235187728983;0.1634480205404307
CID101;4;BIOMASS;0.0222159755014862;0.1777129415757571
CID98;1;CLAY;0.0101323383971986;0.0581537243448556
CID99;2;CLAY;0.0050067644592546;0.0396323437492517
CID100;3;CLAY;0.0047279752212389;0.0105650152299999
CID101;4;CLAY;0.0058231752212389;0.01301232177
