process_tech;grid;Minor Time;Major Time;Scenario;rate
NET;7;1;1;LL;74.08655427421662
LARGE_CO2_COMPRESSOR;7;1;1;LL;168.36002339378643
INCUMBENT_CEMENT;1;1;1;LL;21.03310502
INCUMBENT_CEMENT;2;1;1;LL;42.06621005
INCUMBENT_CEMENT;3;1;1;LL;42.06621005
INCUMBENT_CEMENT;4;1;1;LL;33.65296804
INCUMBENT_CEMENT;5;1;1;LL;117.7853881
CALCINED_CLAY_CEMENT;1;1;1;LL;21.03310502
CALCINED_CLAY_BIOMASS_CEMENT;4;1;1;LL;33.65296804
CCS_CALCINED_CLAY_CEMENT;2;1;1;LL;42.06621005
CCS_CALCINED_CLAY_CEMENT;3;1;1;LL;42.06621005
CCS_CALCINED_CLAY_CEMENT;5;1;1;LL;117.7853881
