OID;Grid_id;RESOURCE;TRANSPORT_COEFF;TRANSPORT_EMISS
CID54;1;OLIVINE;0.00599565839823;0.04248271411
CID55;2;OLIVINE;0.0094597856017699;0.05550848741
CID56;3;OLIVINE;0.0101281396902654;0.04767771126
CID72;4;OLIVINE;0.0072387046123893;0.0501846306099999
CID73;5;OLIVINE;0.0074403329929203;0.0466629573
CID54;1;BIOMASS;0.0135943064955752;0.1514066178999999
CID55;2;BIOMASS;0.0170584903362831;0.1644325178
CID56;3;BIOMASS;0.018487642159292;0.1683572572999999
CID72;4;BIOMASS;0.0060928637168141;0.01361496094
CID73;5;BIOMASS;0.014469614159292;0.03233343806
CID54;1;CLAY;0.0121912194424778;0.05863115381
CID55;2;CLAY;0.0156554103628318;0.07165706949
CID56;3;CLAY;0.0150118632477876;0.05142845589
CID72;4;CLAY;0.0134422727345132;0.06635096273
CID73;5;CLAY;0.0136438763362831;0.06282923405
