J;M;OBJ_WEIGHT;PROCESS_COEFF
NO_ACTION;OPEX;1;0.0
INCUMBENT_STEELBFBOF;OPEX;1;0.1793948166666666
CCS_STEELBFBOF;OPEX;1;0.0211456333333332
INCUMBENT_CEMENT;OPEX;1;0.0
CCS_CEMENT;OPEX;1;0.0220887979646017
BIOMASS_CEMENT;OPEX;1;0.0332566279136819
CCS_BIOMASS_CEMENT;OPEX;1;0.0553454258782837
MINERAL_CEMENT;OPEX;1;0.0135153999118463
BIOMASS_MINERAL_CEMENT;OPEX;1;0.0367950394514236
CCS_BIOMASS_MINERAL_CEMENT;OPEX;1;0.0460108876409173
CCS_MINERAL_CEMENT;OPEX;1;0.0227312481013399
CALCINED_CLAY_CEMENT;OPEX;1;0.0037158764294867
CALCINED_CLAY_BIOMASS_CEMENT;OPEX;1;0.0292009187335256
CCS_CALCINED_CLAY_CEMENT;OPEX;1;0.0193567421374513
CCS_CALCINED_CLAY_BIOMASS_CEMENT;OPEX;1;0.0500101034380801
NET;OPEX;1;0.0336009804313926
SMALL_CO2_COMPRESSOR;OPEX;1;0.0
LARGE_CO2_COMPRESSOR;OPEX;1;0.0
XL_CO2_COMPRESSOR;OPEX;1;0.0
XXL_CO2_COMPRESSOR;OPEX;1;0.0
XXXL_CO2_COMPRESSOR;OPEX;1;0.0
INJ_WELL;OPEX;1;0.0
SALT_CAVERN;OPEX;1;0.0
PRES_CYL_VESSEL;OPEX;1;0.0
