OID;Longitude;Latitude;Grid_id;GRIDTYPE;GRIDTYPECODE;TOT_CO2_STORES;LANDFALL;ONSHORE_GRIDS;IMPORT_LOCATIONS;EMISSION_FACTOR;LOCATION_FACTOR;AVAILABILITY;HARBOUR;parent_name
CID70;-7.572383;54.143487;1;CEMENT;11;0.0;0;1;1;0;1;1;0;Mannok Build Ltd
CID74;-7.578912;54.130891;2;CEMENT;11;0.0;0;1;1;0;1;1;0;Mannok Build Ltd
TID12;-1.843626102;57.55512209;3;TERMINAL;30;0.0;1;1;1;0;1;1;0;
TID16;-3.06286312;53.19136044;4;TERMINAL;30;0.0;1;1;1;0;1;1;0;
TID21;0.281234011;53.26012071;5;TERMINAL;30;0.0;1;1;1;0;1;1;0;
TID22;0.044765758;53.68945314;6;TERMINAL;30;0.0;1;1;1;0;1;1;0;
TID25;-5.757930367;54.82315909;7;TERMINAL;30;0.0;1;1;1;0;1;1;0;
TID26;-6.237575191;53.63410951;8;TERMINAL;30;0.0;1;1;1;0;1;1;0;
SID1;1.270767238;54.01255983;9;STORAGE;20;13293.9144;0;0;1;0;1;1;0;
SID3;1.787312393;60.26116908;10;STORAGE;20;370.4386224;0;0;1;0;1;1;0;
SID4;1.390369945;59.74385612;11;STORAGE;20;12220.08093;0;0;1;0;1;1;0;
SID5;0.931109112;57.23100117;12;STORAGE;20;339.066;0;0;1;0;1;1;0;
SID6;1.333267017;57.40650906;13;STORAGE;20;26132.05056;0;0;1;0;1;1;0;
SID7;0.483671109;57.65877357;14;STORAGE;20;372.1788;0;0;1;0;1;1;0;
SID8;0.131075991;58.50572514;15;STORAGE;20;14613.75;0;0;1;0;1;1;0;
SID9;1.241960126;58.88268013;16;STORAGE;20;427.2831;0;0;1;0;1;1;0;
SID10;2.00404813;59.86255188;17;STORAGE;20;25.2672;0;0;1;0;1;1;0;
SID11;1.428698659;58.84081626;18;STORAGE;20;66.146625;0;0;1;0;1;1;0;
SID12;1.861466883;59.98601885;19;STORAGE;20;221.2938;0;0;1;0;1;1;0;
SID15;1.489542175;59.03576844;20;STORAGE;20;6.166125;0;0;1;0;1;1;0;
SID16;-3.591170453;53.84996599;21;STORAGE;20;1775.0204;0;0;1;0;1;1;0;
SID17;-4.015058343;54.61267195;22;STORAGE;20;339.416;0;0;1;0;1;1;0;
SID19;0.799728695;58.21578367;23;STORAGE;20;4753.131075;0;0;1;0;1;1;0;
SID20;1.297056907;58.25739527;24;STORAGE;20;30.490911;0;0;1;0;1;1;0;
SID21;-3.495559357;53.64289201;25;STORAGE;20;2141.463324;0;0;1;0;1;1;0;
SID22;-4.003398066;54.18761158;26;STORAGE;20;1220.524256;0;0;1;0;1;1;0;
SID23;-3.752539385;53.86033527;27;STORAGE;20;0.76186913;0;0;1;0;1;1;0;
SID24;-2.123036842;50.48018176;28;STORAGE;20;1265.9458;0;0;1;0;1;1;0;
SID25;-3.783000561;54.04912548;29;STORAGE;20;11099.42404;0;0;1;0;1;1;0;
SID26;1.120748635;53.82349023;30;STORAGE;20;5466.7872;0;0;1;0;1;1;0;
SID27;-2.362227552;50.43990603;31;STORAGE;20;393.788448;0;0;1;0;1;1;0;
SID28;2.589333294;55.61560804;32;STORAGE;20;101.7534;0;0;1;0;1;1;0;
SID29;1.44158769;59.54083262;33;STORAGE;20;27.36;0;0;1;0;1;1;0;
SID30;1.64907591;59.76576328;34;STORAGE;20;17.52;0;0;1;0;1;1;0;
SID33;1.683194948;59.57500693;35;STORAGE;20;102.5325;0;0;1;0;1;1;0;
SID34;1.38364997;61.02533292;36;STORAGE;20;592.2315;0;0;1;0;1;1;0;
SID35;1.711237137;52.90913671;37;STORAGE;20;435.4623;0;0;1;0;1;1;0;
SID46;1.584463886;56.95215819;38;STORAGE;20;13693.05;0;0;1;0;1;1;0;
SID47;1.257630775;58.37359571;39;STORAGE;20;8.6688;0;0;1;0;1;1;0;
SID48;1.292373827;58.48189735;40;STORAGE;20;18.018;0;0;1;0;1;1;0;
SID50;-1.611670978;56.72668691;41;STORAGE;20;12.495;0;0;1;0;1;1;0;
SID54;0.01791139;58.90608782;42;STORAGE;20;604.044;0;0;1;0;1;1;0;
SID55;-0.189424746;57.71737166;43;STORAGE;20;79.016;0;0;1;0;1;1;0;
SID56;-0.266141683;58.5050536;44;STORAGE;20;233.24;0;0;1;0;1;1;0;
SID57;1.032828881;56.75116877;45;STORAGE;20;277.508;0;0;1;0;1;1;0;
SID58;0.464189354;57.11599256;46;STORAGE;20;206.108;0;0;1;0;1;1;0;
SID60;-0.109882368;58.58919791;47;STORAGE;20;27.65;0;0;1;0;1;1;0;
SID64;2.098288917;52.7563253;48;STORAGE;20;431.227368;0;0;1;0;1;1;0;
SID65;1.949268322;53.41221502;49;STORAGE;20;193.109;0;0;1;0;1;1;0;
SID68;0.510038307;57.90680972;50;STORAGE;20;21852.40221;0;0;1;0;1;1;0;
SID69;0.117677472;58.78460253;51;STORAGE;20;8036.7876;0;0;1;0;1;1;0;
SID70;1.256971648;59.26360488;52;STORAGE;20;1389.15;0;0;1;0;1;1;0;
SID71;1.349296133;60.80170559;53;STORAGE;20;16360.99166;0;0;1;0;1;1;0;
SID73;-2.24029165;58.19647436;54;STORAGE;20;209.125;0;0;1;0;1;1;0;
SID74;1.449268637;57.43753242;55;STORAGE;20;8845.389;0;0;1;0;1;1;0;
SID75;-2.678314764;58.13984376;56;STORAGE;20;736.103808;0;0;1;0;1;1;0;
SID76;1.314870863;58.57685962;57;STORAGE;20;15.53664;0;0;1;0;1;1;0;
SID77;1.402289001;58.73056033;58;STORAGE;20;132.048;0;0;1;0;1;1;0;
SID78;1.351733829;61.11119113;59;STORAGE;20;2183.7816;0;0;1;0;1;1;0;
SID79;0.958721235;57.98727857;60;STORAGE;20;193.2525;0;0;1;0;1;1;0;
SID80;-3.173830198;58.04728858;61;STORAGE;20;76.86;0;0;1;0;1;1;0;
