RESOURCE;grid_id;T;TM;S;DEMAND
CEMENT;1;1;1;LL;109.7928082
CEMENT;2;1;1;LL;57.21004566
CEMENT;3;1;1;LL;57.21004566
CEMENT;4;1;1;LL;59.31335616
CEMENT;5;1;1;LL;102.2208904
CEMENT;6;1;1;LL;57.21004566
CEMENT;7;1;1;LL;96.75228311
CEMENT;8;1;1;LL;57.21004566
CEMENT;9;1;1;LL;75.29851598
CEMENT;10;1;1;LL;57.21004566
CEMENT;11;1;1;LL;57.21004566
CEMENT;12;1;1;LL;37.85958904
CEMENT;13;1;1;LL;57.21004566
CEMENT;14;1;1;LL;57.21004566
CEMENT;15;1;1;LL;79.92579909
CEMENT;16;1;1;LL;57.21004566
CEMENT;17;1;1;LL;57.21004566
CEMENT;18;1;1;LL;50.90011416
CEMENT;19;1;1;LL;67.30593607
CEMENT;20;1;1;LL;54.26541096
CEMENT;21;1;1;LL;57.21004566
CEMENT;22;1;1;LL;57.21004566
CEMENT;23;1;1;LL;57.21004566
CEMENT;24;1;1;LL;57.21004566
CEMENT;25;1;1;LL;40.80422374
CEMENT;26;1;1;LL;95.0696347
CEMENT;27;1;1;LL;96.331621
CEMENT;28;1;1;LL;53.84474886
CEMENT;29;1;1;LL;55.10673516
CEMENT;30;1;1;LL;57.21004566
CEMENT;31;1;1;LL;57.21004566
